scene_id,station_id,snapshot_id,selection_index,initial_correspondence_count,initial_valid_normal_correspondence_count,lambda_min_trans,lambda_mid_trans,lambda_max_trans,normalized_lambda_min_trans,normalized_lambda_mid_trans,normalized_lambda_max_trans,condition_number_trans,spectral_entropy_trans
FMB1_R01,S01,FMB1_R01_S01_Q01,0,16007.0,16007.0,0.2433075934741013,0.2676519534898447,0.48904045303605376,0.24330759347410136,0.2676519534898448,0.48904045303605387,2.0099679013434053,0.9525625758399264
FMB1_R01,S01,FMB1_R01_S01_Q02,1,16032.0,16032.0,0.24161758089582164,0.26628159080097574,0.49210082830320245,0.2416175808958217,0.2662815908009758,0.49210082830320256,2.03669296943827,0.9507195423637869
FMB1_R01,S01,FMB1_R01_S01_Q03,2,15978.0,15978.0,0.2474002935489453,0.2651064275868613,0.48749327886419325,0.24740029354894533,0.26510642758686137,0.4874932788641933,1.9704636234303752,0.9537222492737366
FMB1_R01,S01,FMB1_R01_S01_Q04,3,15942.0,15942.0,0.24602074795634782,0.26773109913058607,0.4862481529130663,0.24602074795634776,0.267731099130586,0.48624815291306617,1.9764518112892768,0.9543090879190058
FMB1_R01,S01,FMB1_R01_S01_Q05,4,16031.0,16031.0,0.24508929997653714,0.2709061268643656,0.4840045731590973,0.24508929997653714,0.2709061268643656,0.4840045731590973,1.9748090724704503,0.9554326443775191
FMB1_R01,S01,FMB1_R01_S01_Q06,5,16144.0,16144.0,0.24460432347573313,0.2696986915395886,0.4856969849846783,0.24460432347573313,0.2696986915395886,0.4856969849846783,1.985643500013047,0.9544888678640414
FMB1_R01,S01,FMB1_R01_S01_Q07,6,16023.0,16023.0,0.246503845406602,0.256536890843685,0.49695926374971267,0.24650384540660208,0.2565368908436851,0.49695926374971283,2.016030471776173,0.9482052102577301
FMB1_R01,S01,FMB1_R01_S01_Q08,7,16110.0,16110.0,0.24612495962018985,0.26496650186442966,0.48890853851538013,0.24612495962018996,0.26496650186442977,0.48890853851538035,1.986424047645733,0.9528523914873068
FMB1_R01,S01,FMB1_R01_S01_Q09,8,16014.0,16014.0,0.23834052488499577,0.27103577083609737,0.4906237042789072,0.23834052488499566,0.27103577083609726,0.490623704278907,2.0584988831238133,0.9511945849632404
FMB1_R01,S01,FMB1_R01_S01_Q10,9,16001.0,16001.0,0.23845936755743438,0.2709371647812333,0.490603467661332,0.23845936755743447,0.2709371647812334,0.49060346766133217,2.057388110547459,0.9512193782759615
FMB1_R01,S02,FMB1_R01_S02_Q01,0,15091.0,15091.0,0.2091921864948961,0.25938273799720846,0.5314250755078957,0.20919218649489602,0.25938273799720835,0.5314250755078955,2.5403677088143133,0.9223171878150371
FMB1_R01,S02,FMB1_R01_S02_Q02,1,14699.0,14699.0,0.2162742096717391,0.26916863132766605,0.5145571590005948,0.2162742096717391,0.26916863132766605,0.5145571590005948,2.379188715018723,0.9341959829265906
FMB1_R01,S02,FMB1_R01_S02_Q03,2,14654.0,14654.0,0.21430137663445992,0.26467121438744257,0.5210274089780975,0.21430137663445992,0.26467121438744257,0.5210274089780975,2.4312835370480568,0.9299074124360163
FMB1_R01,S02,FMB1_R01_S02_Q04,3,14832.0,14832.0,0.21291272589717644,0.2641424485225873,0.5229448255802366,0.21291272589717636,0.26414244852258717,0.5229448255802364,2.4561464016612438,0.9284506600563486
FMB1_R01,S02,FMB1_R01_S02_Q05,4,14719.0,14719.0,0.21177004118061982,0.26654395489307864,0.5216860039263019,0.21177004118061973,0.2665439548930785,0.5216860039263017,2.4634551753302683,0.9289949078650102
FMB1_R01,S02,FMB1_R01_S02_Q06,5,14546.0,14546.0,0.21645861326459823,0.2719623839315881,0.5115790028038141,0.21645861326459814,0.271962383931588,0.5115790028038139,2.363403308781535,0.9359681596976892
FMB1_R01,S02,FMB1_R01_S02_Q07,6,14724.0,14724.0,0.21322857578905355,0.27475677086094,0.5120146533500063,0.21322857578905358,0.2747567708609401,0.5120146533500064,2.4012478226958707,0.9350112468727818
FMB1_R01,S02,FMB1_R01_S02_Q08,7,14613.0,14613.0,0.21330789986846543,0.2730667216275914,0.5136253785039435,0.21330789986846535,0.27306672162759127,0.5136253785039433,2.4079060307689795,0.9341098669487783
FMB1_R01,S02,FMB1_R01_S02_Q09,8,14792.0,14792.0,0.20854987530506344,0.25701660860226505,0.5344335160926715,0.20854987530506344,0.25701660860226505,0.5344335160926715,2.5626172890820995,0.920208829733393
FMB1_R01,S02,FMB1_R01_S02_Q10,9,14703.0,14703.0,0.21504371677131207,0.2703552535950661,0.5146010296336218,0.21504371677131207,0.2703552535950661,0.5146010296336218,2.393006581916892,0.9339194811348104
FMB1_R01,S03,FMB1_R01_S03_Q01,0,14446.0,14446.0,0.26568265488170983,0.33936398715788285,0.39495335796040765,0.2656826548817097,0.3393639871578827,0.3949533579604075,1.486560566538501,0.9883387838842873
FMB1_R01,S03,FMB1_R01_S03_Q02,1,14535.0,14535.0,0.2720895141002044,0.3290907510067218,0.3988197348930738,0.2720895141002044,0.3290907510067218,0.3988197348930738,1.4657666474651339,0.9890024526506608
FMB1_R01,S03,FMB1_R01_S03_Q03,2,14643.0,14643.0,0.2764942005541535,0.3293479273378437,0.39415787210800274,0.2764942005541535,0.3293479273378437,0.39415787210800274,1.4255556583755682,0.9905232482838686
FMB1_R01,S03,FMB1_R01_S03_Q04,3,14594.0,14594.0,0.27594730931834516,0.3282333276912086,0.395819362990446,0.2759473093183452,0.32823332769120867,0.3958193629904461,1.43440196597029,0.990159101522944
FMB1_R01,S03,FMB1_R01_S03_Q05,4,14436.0,14436.0,0.2652305136821494,0.34141553085413934,0.39335395546371144,0.2652305136821494,0.34141553085413934,0.39335395546371144,1.4830644860685387,0.9884499542775964
FMB1_R01,S03,FMB1_R01_S03_Q06,5,14482.0,14482.0,0.2617332189775268,0.338545953448557,0.3997208275739163,0.26173321897752677,0.3385459534485569,0.3997208275739162,1.5272070894762406,0.9867467285822791
FMB1_R01,S03,FMB1_R01_S03_Q07,6,14729.0,14729.0,0.27123428083500684,0.33116606343043364,0.39759965573455985,0.2712342808350068,0.3311660634304336,0.39759965573455974,1.4658901319941253,0.9890589410337727
FMB1_R01,S03,FMB1_R01_S03_Q08,7,14693.0,14693.0,0.2794324357980967,0.3239414686465029,0.39662609555540046,0.2794324357980967,0.3239414686465029,0.39662609555540046,1.4193989127374669,0.9905257038439299
FMB1_R01,S03,FMB1_R01_S03_Q09,8,14461.0,14461.0,0.26047367393780096,0.34336421376390325,0.3961621122982958,0.26047367393780096,0.34336421376390325,0.3961621122982958,1.5209295676955674,0.9869414759203632
FMB1_R01,S03,FMB1_R01_S03_Q10,9,14532.0,14532.0,0.27333459361277646,0.33159749686340184,0.3950679095238212,0.27333459361277657,0.331597496863402,0.39506790952382137,1.4453637364449379,0.9898469339259962
FMB1_R02,S01,FMB1_R02_S01_Q01,0,15251.0,15251.0,0.18033693829887681,0.3413597260518389,0.4783033356492845,0.1803369382988768,0.34135972605183884,0.4783033356492844,2.6522760126745677,0.9362334205665322
FMB1_R02,S01,FMB1_R02_S01_Q02,1,14951.0,14951.0,0.18543753040081903,0.32576234314688335,0.488800126452298,0.18543753040081895,0.3257623431468832,0.48880012645229776,2.6359287971305894,0.935474629847166
FMB1_R02,S01,FMB1_R02_S01_Q03,2,15108.0,15108.0,0.18514820019713207,0.3338426115831485,0.48100918821971966,0.18514820019713205,0.33384261158314843,0.48100918821971955,2.597968479885717,0.9380564191482044
FMB1_R02,S01,FMB1_R02_S01_Q04,3,15058.0,15058.0,0.18756009287680017,0.3267861298971979,0.4856537772260015,0.18756009287680026,0.3267861298971981,0.4856537772260017,2.5893236123795575,0.9377036639026289
FMB1_R02,S01,FMB1_R02_S01_Q05,4,15164.0,15164.0,0.18467409119107173,0.34311128741046976,0.4722146213984585,0.18467409119107173,0.34311128741046976,0.4722146213984585,2.557016083592825,0.9405353990221164
FMB1_R02,S01,FMB1_R02_S01_Q06,5,15003.0,15003.0,0.179381109841447,0.33920960542063056,0.48140928473792216,0.17938110984144703,0.3392096054206306,0.48140928473792227,2.683723415266159,0.934706974891378
FMB1_R02,S01,FMB1_R02_S01_Q07,6,14941.0,14941.0,0.1863632384243899,0.32939059227935186,0.4842461692962586,0.18636323842438987,0.3293905922793518,0.48424616929625847,2.5983996274711862,0.9375916670020765
FMB1_R02,S01,FMB1_R02_S01_Q08,7,15517.0,15517.0,0.1880682097265706,0.339287144013519,0.47264464625991076,0.1880682097265705,0.33928714401351884,0.47264464625991054,2.5131554500735738,0.9422763228455959
FMB1_R02,S01,FMB1_R02_S01_Q09,8,15205.0,15205.0,0.1854896316171543,0.33901766041561776,0.4754927079672281,0.1854896316171543,0.33901766041561776,0.4754927079672281,2.5634462898100554,0.9400079857446785
