scene_id,scene_class,snapshot_id,lambda_min,lambda_mid,lambda_max,weak_direction_x,weak_direction_y,weak_direction_z,strong_direction_x,strong_direction_y,strong_direction_z,weak_translation_norm_before_normalization,strong_translation_norm_before_normalization,deterministic_sign_rule,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
R_TEST_01,Rich,R_TEST_01_Q01,0.2536293412739258,0.30027579079570843,0.4460948679303659,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,0.11262137474247069,0.993160774305118,-0.030791270398839755,1.0,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,0.25529579402819513,0.2944313204890375,0.45027288548276734,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,0.09541572717285077,0.9942327348519906,-0.048960269166003365,0.9999999999999999,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q03,0.2535039833280639,0.2937445333464529,0.4527514833254835,0.9901793197255586,-0.10395255779939754,-0.09348144476201198,0.10002626331853963,0.9939319165659176,-0.04576124865136622,1.0,0.9999999999999998,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q04,0.2549266309248976,0.2870611201973129,0.45801224887778963,0.9916858789846642,-0.10054501297153282,-0.0803107576166998,0.09788424537633204,0.9945312586570152,-0.03641771630949986,0.9999999999999999,1.0000000000000004,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q05,0.2412841460487334,0.3008017352156844,0.45791411873558235,0.990916832556133,-0.09912966010198203,-0.09086881447992096,0.09496353796612403,0.9942696862004683,-0.049088874093617244,1.0,0.9999999999999998,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q06,0.24720409335928786,0.29904118325837087,0.4537547233823416,0.9841055041167887,-0.09567276347719332,-0.14960975601770876,0.08968958621128309,0.9948950517034413,-0.04625596416956401,0.9999999999999999,1.0,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q07,0.2540379703407097,0.28846005837197586,0.4575019712873144,0.9937885387369251,-0.10132452642347951,-0.04601826398490893,0.09881895080197699,0.9936498213611795,-0.053803786774653334,0.9999999999999998,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q08,0.25344238851055606,0.2893099329669421,0.45724767852250225,0.994263151840545,-0.09365520334831545,-0.05166708602090044,0.0909424492444678,0.9944674397926769,-0.05257358764261717,1.0,0.9999999999999997,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q09,0.2540259353290542,0.2928746335655511,0.45309943110539475,0.9936584968628489,-0.10509115100807805,-0.03998301629518571,0.10385445695068313,0.9940824488703562,-0.03184865176729181,0.9999999999999999,1.0000000000000004,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q10,0.25657072726672686,0.2907526496399251,0.4526766230933478,0.9827960601581015,-0.10422153983741858,-0.1524787682650628,0.09937608331022003,0.9942821441896058,-0.0390821162635851,1.0,1.0,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
