row_type,scene_class,snapshot_id,direction_class,sign,open3d_capture_radius_mid_m,pcl_capture_radius_mid_m,paired_absolute_difference_m,both_bounded,capture_radius_spearman,median_paired_absolute_difference_m,directional_conclusion_agreement_rate,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
PAIR,Weak,W_TEST_01_Q01,weak,1,1.7375,1.7375,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q02,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q02,strong,1,2.0374999999999996,2.0125,0.024999999999999467,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q02,weak,-1,1.5875000000000001,1.5875000000000001,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q02,weak,1,1.8875,1.9124999999999999,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q03,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q03,strong,1,2.0625,2.0374999999999996,0.025000000000000355,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q03,weak,-1,1.6125,1.5875000000000001,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q03,weak,1,1.8625,1.9124999999999999,0.04999999999999982,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q04,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q04,strong,1,2.0374999999999996,1.9875,0.0499999999999996,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q04,weak,-1,1.9625,1.8125,0.1499999999999999,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q04,weak,1,1.7375,1.7625,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q05,strong,-1,2.1125,2.1625000000000005,0.05000000000000071,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q05,strong,1,,1.9875,,false,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q05,weak,-1,1.6375000000000002,1.6375000000000002,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q05,weak,1,1.7375,1.7625,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q06,strong,-1,2.1375,2.1625000000000005,0.025000000000000355,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q06,strong,1,1.9875,1.9875,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q06,weak,-1,1.7625,1.7375,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q06,weak,1,1.7375,1.7625,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q07,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q07,strong,1,2.0374999999999996,2.0125,0.024999999999999467,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q07,weak,-1,1.6375000000000002,1.6125,0.025000000000000133,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q07,weak,1,1.8625,1.8875,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q08,strong,-1,2.1625000000000005,2.1875,0.024999999999999467,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q08,strong,1,2.0625,2.0374999999999996,0.025000000000000355,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q08,weak,-1,1.9875,1.7625,0.2250000000000001,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q08,weak,1,1.8625,1.9124999999999999,0.04999999999999982,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q09,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q09,strong,1,2.0125,1.9875,0.025000000000000133,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q09,weak,-1,2.0625,1.9625,0.10000000000000009,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q09,weak,1,1.7625,1.8125,0.050000000000000044,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q10,strong,-1,2.1625000000000005,2.1625000000000005,0.0,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q10,strong,1,2.0374999999999996,2.0125,0.024999999999999467,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q10,weak,-1,1.6125,1.5875000000000001,0.02499999999999991,true,,,,true,true,false,false,UNRESOLVED
PAIR,Weak,W_TEST_01_Q10,weak,1,1.7375,1.7375,0.0,true,,,,true,true,false,false,UNRESOLVED
