scene_id,scene_class,snapshot_id,backend,direction_class,capture_radius_plus_m,capture_radius_minus_m,paired_absolute_difference_m,sign_asymmetry_ratio,comparable_bounded_pair,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
R_TEST_01,Rich,R_TEST_01_Q10,pcl,strong,2.9875,3.1375,0.15000000000000036,0.9521912350597609,true,true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q10,pcl,weak,1.3375,3.2625,1.9250000000000003,0.40996168582375475,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q01,open3d,strong,,2.1625000000000005,,,false,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q01,open3d,weak,1.7375,1.5875000000000001,0.1499999999999999,0.9136690647482015,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q01,pcl,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q01,pcl,weak,1.7375,1.5625,0.17500000000000004,0.8992805755395683,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q02,open3d,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q02,open3d,weak,1.8875,1.5875000000000001,0.2999999999999998,0.8410596026490067,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q02,pcl,strong,2.0125,2.1625000000000005,0.15000000000000036,0.9306358381502888,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q02,pcl,weak,1.9124999999999999,1.5875000000000001,0.32499999999999973,0.8300653594771243,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q03,open3d,strong,2.0625,2.1625000000000005,0.10000000000000053,0.9537572254335258,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q03,open3d,weak,1.8625,1.6125,0.25,0.8657718120805369,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q03,pcl,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q03,pcl,weak,1.9124999999999999,1.5875000000000001,0.32499999999999973,0.8300653594771243,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q04,open3d,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q04,open3d,weak,1.7375,1.9625,0.22499999999999987,0.8853503184713376,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q04,pcl,strong,1.9875,2.1625000000000005,0.1750000000000005,0.9190751445086703,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q04,pcl,weak,1.7625,1.8125,0.050000000000000044,0.9724137931034482,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q05,open3d,strong,,2.1125,,,false,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q05,open3d,weak,1.7375,1.6375000000000002,0.09999999999999987,0.9424460431654677,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q05,pcl,strong,1.9875,2.1625000000000005,0.1750000000000005,0.9190751445086703,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q05,pcl,weak,1.7625,1.6375000000000002,0.12499999999999978,0.9290780141843973,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q06,open3d,strong,1.9875,2.1375,0.15000000000000013,0.9298245614035087,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q06,open3d,weak,1.7375,1.7625,0.02499999999999991,0.9858156028368795,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q06,pcl,strong,1.9875,2.1625000000000005,0.1750000000000005,0.9190751445086703,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q06,pcl,weak,1.7625,1.7375,0.02499999999999991,0.9858156028368795,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q07,open3d,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q07,open3d,weak,1.8625,1.6375000000000002,0.22499999999999987,0.8791946308724833,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q07,pcl,strong,2.0125,2.1625000000000005,0.15000000000000036,0.9306358381502888,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q07,pcl,weak,1.8875,1.6125,0.2749999999999999,0.8543046357615894,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q08,open3d,strong,2.0625,2.1625000000000005,0.10000000000000053,0.9537572254335258,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q08,open3d,weak,1.8625,1.9875,0.125,0.9371069182389937,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q08,pcl,strong,2.0374999999999996,2.1875,0.15000000000000036,0.9314285714285713,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q08,pcl,weak,1.9124999999999999,1.7625,0.1499999999999999,0.9215686274509804,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q09,open3d,strong,2.0125,2.1625000000000005,0.15000000000000036,0.9306358381502888,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q09,open3d,weak,1.7625,2.0625,0.30000000000000004,0.8545454545454545,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q09,pcl,strong,1.9875,2.1625000000000005,0.1750000000000005,0.9190751445086703,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q09,pcl,weak,1.8125,1.9625,0.1499999999999999,0.9235668789808917,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q10,open3d,strong,2.0374999999999996,2.1625000000000005,0.1250000000000009,0.9421965317919071,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q10,open3d,weak,1.7375,1.6125,0.125,0.9280575539568345,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q10,pcl,strong,2.0125,2.1625000000000005,0.15000000000000036,0.9306358381502888,true,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q10,pcl,weak,1.7375,1.5875000000000001,0.1499999999999999,0.9136690647482015,true,true,true,false,false,UNRESOLVED
