scene_id,scene_class,snapshot_id,backend,direction_class,perturbation_sign,largest_recovered_coarse_magnitude,smallest_failed_coarse_magnitude,capture_radius_lower_m,capture_radius_upper_m,capture_radius_mid_m,capture_radius_resolution_m,boundary_refinement_run_count,LEFT_CENSORED,RIGHT_CENSORED,BOUND_NOT_FOUND,NON_MONOTONIC_RECOVERY_PATTERN,CAPTURE_RADIUS_AMBIGUOUS,lower_initial_correspondence_fraction,upper_initial_correspondence_fraction,upper_bound_low_initial_overlap,coarse_profile_json,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,-1,3.2,4.8,3.5,3.525,3.5125,0.02499999999999991,6,false,false,false,false,false,0.510408534998699,0.510408534998699,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8074421025240698,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7522118136872236,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7207910486599011,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6796773354150404,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5221181368722352,""magnitude_m"":3.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.43767889669529014,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.372040072859745,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,1,1.2,1.6,1.3249999999999997,1.3499999999999999,1.3375,0.025000000000000133,4,false,false,false,false,false,0.6646500130106687,0.6639344262295082,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8427660681759043,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6960707780379911,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6493624772313297,""magnitude_m"":1.6,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,pcl,strong,-1,2.4,3.2,3.1500000000000004,3.1750000000000003,3.1625000000000005,0.02499999999999991,5,false,false,false,false,false,0.291504033307312,0.291504033307312,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6079234972677595,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5111891751236014,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4472417382253448,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.3042544886807182,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.29195940671350507,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.20491803278688525,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.0059849076242518865,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,pcl,strong,1,2.4,3.2,3.0,3.025,3.0125,0.02499999999999991,5,false,false,false,false,false,0.40567265157429094,0.4096409055425449,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.9998698933125163,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6762945615404632,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5816419463960447,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5143767889669529,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4143247462919594,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.41360915951079885,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.3337236533957845,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.014897215716887848,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,-1,2.4,3.2,3.1750000000000003,3.2,3.1875,0.02499999999999991,5,false,false,false,false,false,0.5249154306531356,0.5221181368722352,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8074421025240698,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7522118136872236,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7207910486599011,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6796773354150404,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5221181368722352,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.43767889669529014,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.372040072859745,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,1,1.2,1.6,1.3249999999999997,1.3499999999999999,1.3375,0.025000000000000133,4,false,false,false,false,false,0.6646500130106687,0.6639344262295082,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8427660681759043,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6960707780379911,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6493624772313297,""magnitude_m"":1.6,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q03,open3d,strong,-1,2.4,3.2,2.5749999999999997,2.5999999999999996,2.5874999999999995,0.02499999999999991,5,false,false,false,false,false,0.3070517824616185,0.3054905022118137,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6163153786104606,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5191907364038512,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.45914650013010666,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.315703877179287,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.30067655477491545,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.20927660681759042,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.006049960967993755,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q03,open3d,strong,1,2.4,3.2,2.975,3.0,2.9875,0.02499999999999991,5,false,false,false,false,false,0.40027322404371585,0.4048920114493885,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6733021077283372,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5811865729898517,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.5184751496226906,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.4178376268540203,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.41588602654176426,""magnitude_m"":3.2,""pose_recovered"":false},{""initial_correspondence_fraction"":0.3211033047098621,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.014376788966952901,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q03,open3d,weak,-1,3.2,4.8,3.4000000000000004,3.4250000000000003,3.4125000000000005,0.02499999999999991,6,false,false,false,false,false,0.7007546187874056,0.7014702055685662,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.8110850897736144,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7678896695290138,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7599531615925058,""magnitude_m"":1.6,""pose_recovered"":true},{""initial_correspondence_fraction"":0.7541634139994796,""magnitude_m"":2.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6991933385376008,""magnitude_m"":3.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6606817590424148,""magnitude_m"":4.8,""pose_recovered"":false},{""initial_correspondence_fraction"":0.5098230549050221,""magnitude_m"":6.4,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
R_TEST_01,Rich,R_TEST_01_Q03,open3d,weak,1,1.2,1.6,1.2999999999999998,1.3249999999999997,1.3124999999999998,0.02499999999999991,4,false,false,false,false,false,0.6760343481654957,0.6770752016653656,false,"[{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.05,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.1,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.2,""pose_recovered"":true},{""initial_correspondence_fraction"":1.0,""magnitude_m"":0.4,""pose_recovered"":true},{""initial_correspondence_fraction"":0.841855321363518,""magnitude_m"":0.8,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6965261514441843,""magnitude_m"":1.2,""pose_recovered"":true},{""initial_correspondence_fraction"":0.6709601873536299,""magnitude_m"":1.6,""pose_recovered"":false}]",true,true,false,false,UNRESOLVED
