scene_id,station_id,role,raw_filename,raw_absolute_path,canonical_filename,capture_prefix,sha256,bytes,mtime,mtime_utc,canonical_materialization,capture_timestamp,duration_s,start_timestamp,end_timestamp,lidar_count,imu_count,lidar_rate_hz,imu_rate_hz,frame_ids,pointcloud2_fields,motion_status,bag_acquisition_pass
FMB1_R02,S03,MAP,mid360_20260819_210826_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_210826_part1_20s.bag,FMB1_R02_S03_MAP_20260819_210826.bag,20260819_210826,d1d8062575aec78adabe32e49b510bc699781cd3290c83ba7f68197dd6416779,66787294,1787144927.0,2026-08-19T13:08:47+00:00,MANIFEST_ONLY_NO_COPY,20260819_210826,19.760890007019043,1787144907.5226452,1787144927.2835352,198,3952,10.000537717269403,199.9599313081801,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R02,S03,QUERY,mid360_20260819_210826_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_210826_part2_15s.bag,FMB1_R02_S03_QUERY_20260819_210826.bag,20260819_210826,9afa8ed736a05a6e8756d8a8e7c3fc09e87c65e9ffdacaa6db51d04896fbb774,49921115,1787144953.0,2026-08-19T13:09:13+00:00,MANIFEST_ONLY_NO_COPY,20260819_210826,14.766154766082764,1787144938.4812458,1787144953.2474005,148,2954,10.000384858079366,199.98435928512117,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S01,MAP,mid360_20260819_211442_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_211442_part1_20s.bag,FMB1_R03_S01_MAP_20260819_211442.bag,20260819_211442,bce2e8dc2b3d2ea818ffb02eb80d61256eb918fea3b91e45c68e5d7e56f87c11,56951267,1787145303.0,2026-08-19T13:15:03+00:00,MANIFEST_ONLY_NO_COPY,20260819_211442,19.72507333755493,1787145283.2073045,1787145302.9323778,197,3945,10.000630681243525,199.94855950628815,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S01,QUERY,mid360_20260819_211442_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_211442_part2_15s.bag,FMB1_R03_S01_QUERY_20260819_211442.bag,20260819_211442,f37b702bcee4c042f5d6fad1ba938b159de35c62d8390d04f34341dfe7e4cfa4,42770833,1787145329.0,2026-08-19T13:15:29+00:00,MANIFEST_ONLY_NO_COPY,20260819_211442,14.787818670272827,1787145314.075397,1787145328.8632157,148,2958,10.000813089679795,199.9618784847762,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S02,MAP,mid360_20260819_211806_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_211806_part1_20s.bag,FMB1_R03_S02_MAP_20260819_211806.bag,20260819_211806,9a9dcc8e8a18aab6e68336feda93eccfaada7725f0c97950174de9d9b9c45dcf,59698888,1787145506.0,2026-08-19T13:18:26+00:00,MANIFEST_ONLY_NO_COPY,20260819_211806,19.812990427017212,1787145486.8043706,1787145506.617361,198,3966,10.000150532737392,200.12122928163748,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S02,QUERY,mid360_20260819_211806_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_211806_part2_15s.bag,FMB1_R03_S02_QUERY_20260819_211806.bag,20260819_211806,75d4731807271dbf3e471f6499f8018ec7704f5c51770f41ed49e0c72df6da15,44622062,1787145532.0,2026-08-19T13:18:52+00:00,MANIFEST_ONLY_NO_COPY,20260819_211806,14.807947397232056,1787145517.7788763,1787145532.5868237,148,2964,10.000819578319428,200.09525429255999,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S03,MAP,mid360_20260819_212018_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_212018_part1_20s.bag,FMB1_R03_S03_MAP_20260819_212018.bag,20260819_212018,7262afba72d24b529ddcc14fcb07f0cb60a23388e26aee52ba9f6df2c9d75a24,58750758,1787145639.0,2026-08-19T13:20:39+00:00,MANIFEST_ONLY_NO_COPY,20260819_212018,19.71976637840271,1787145619.2830055,1787145639.0027719,197,3946,10.000052963264867,200.05307995537942,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_R03,S03,QUERY,mid360_20260819_212018_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_212018_part2_15s.bag,FMB1_R03_S03_QUERY_20260819_212018.bag,20260819_212018,9a5f07f8f7cdf37167ee3c61ce77addb1b3ecbfef18f6ef2ebd9e85871a9af62,44144526,1787145665.0,2026-08-19T13:21:05+00:00,MANIFEST_ONLY_NO_COPY,20260819_212018,14.797844409942627,1787145650.3570411,1787145665.1548855,148,2961,10.00082687804908,200.02913383865456,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S01,MAP,mid360_20260819_212448_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_212448_part1_20s.bag,FMB1_W01_S01_MAP_20260819_212448.bag,20260819_212448,958991403cef064ac03b9959c6c015710e43171e57223d3891b2b0f05aea306d,65554960,1787145909.0,2026-08-19T13:25:09+00:00,MANIFEST_ONLY_NO_COPY,20260819_212448,19.748501777648926,1787145889.5416458,1787145909.2901475,198,3951,10.000222545096305,200.0151730229254,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S01,QUERY,mid360_20260819_212448_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_212448_part2_15s.bag,FMB1_W01_S01_QUERY_20260819_212448.bag,20260819_212448,96a5f068f5b41c87ececdac8555a16bcb5ddeccb879ce3931b0f1698881d47b8,48664172,1787145935.0,2026-08-19T13:25:35+00:00,MANIFEST_ONLY_NO_COPY,20260819_212448,14.726193189620972,1787145920.6088147,1787145935.335008,147,2946,9.999987001305323,199.98379500247475,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S02,MAP,mid360_20260819_212824_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_212824_part1_20s.bag,FMB1_W01_S02_MAP_20260819_212824.bag,20260819_212824,af0aa5263709f1a9bb2826221993d913c94bf21ec5b0c32614d9938496346ae1,66487291,1787146125.0,2026-08-19T13:28:45+00:00,MANIFEST_ONLY_NO_COPY,20260819_212824,19.75629234313965,1787146105.459202,1787146125.2154944,198,3952,9.999852327891286,199.9869171490561,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S02,QUERY,mid360_20260819_212824_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_212824_part2_15s.bag,FMB1_W01_S02_QUERY_20260819_212824.bag,20260819_212824,6c4ac9f69445d956d27ec9cc0b1f01aa14d2dee3c919000807d20c5cfdb14e01,49350862,1787146151.0,2026-08-19T13:29:11+00:00,MANIFEST_ONLY_NO_COPY,20260819_212824,14.764555215835571,1787146136.4117372,1787146151.1762924,147,2954,9.999850647687873,200.00602502625952,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S03,MAP,mid360_20260819_213035_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_213035_part1_20s.bag,FMB1_W01_S03_MAP_20260819_213035.bag,20260819_213035,fff670e283221e6bda4f1fff2fa1abe01d7599795179bc79a0b6a01bde59252f,63297586,1787146256.0,2026-08-19T13:30:56+00:00,MANIFEST_ONLY_NO_COPY,20260819_213035,19.73412275314331,1787146236.810635,1787146256.5447578,197,3948,10.000325208651931,200.00889065977407,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W01,S03,QUERY,mid360_20260819_213035_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_213035_part2_15s.bag,FMB1_W01_S03_QUERY_20260819_213035.bag,20260819_213035,6c63c4356ca3f172467f917aea7740b331b26a26b285419cec432d8ce80aea1d,47590748,1787146282.0,2026-08-19T13:31:22+00:00,MANIFEST_ONLY_NO_COPY,20260819_213035,14.754480361938477,1787146267.7809377,1787146282.535418,148,2952,10.00004067729447,200.00704380023933,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
