scene_id,station_id,role,raw_filename,sha256,motion_status,acceleration_unit,acceleration_conversion_applied,large_spike_count,maximum_gyro_step,maximum_accel_step_raw,gyro_x_median,gyro_x_mad,gyro_x_q95,gyro_x_q99,gyro_x_max,gyro_x_min,gyro_x_absolute_max,gyro_y_median,gyro_y_mad,gyro_y_q95,gyro_y_q99,gyro_y_max,gyro_y_min,gyro_y_absolute_max,gyro_z_median,gyro_z_mad,gyro_z_q95,gyro_z_q99,gyro_z_max,gyro_z_min,gyro_z_absolute_max,gyro_norm_median,gyro_norm_mad,gyro_norm_q95,gyro_norm_q99,gyro_norm_max,gyro_norm_min,gyro_norm_absolute_max,accel_x_median,accel_x_mad,accel_x_q95,accel_x_q99,accel_x_max,accel_x_min,accel_x_absolute_max,accel_y_median,accel_y_mad,accel_y_q95,accel_y_q99,accel_y_max,accel_y_min,accel_y_absolute_max,accel_z_median,accel_z_mad,accel_z_q95,accel_z_q99,accel_z_max,accel_z_min,accel_z_absolute_max,accel_norm_median,accel_norm_mad,accel_norm_q95,accel_norm_q99,accel_norm_max,accel_norm_min,accel_norm_absolute_max
FMB1_R01,S01,MAP,mid360_20260819_205431_part1_20s.bag,be239c600731bfe24b21f7fb2e821d731f9251a7b99b369da8d1dcfe4dc32529,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.02365270847916059,0.0548382445872503,0.0043893838301301,0.008522115647792816,0.01717255637049675,0.019303087145090103,0.021433614194393158,-0.012654847465455532,0.021433614194393158,-0.002478715032339096,0.0010652653872966766,0.0007170774042606354,0.0007170774042606354,0.001782342791557312,-0.006739776581525803,0.006739776581525803,-0.011082694865763187,0.0021305298432707787,-0.006821636110544205,-0.005756372585892677,-0.004691107198596001,-0.0185395460575819,0.0185395460575819,0.013320936096206382,0.003360083657947736,0.02312671214685318,0.02427023273034685,0.025792884563454545,0.006643002883940782,0.025792884563454545,0.0010845387587323785,0.012939453474245965,0.01939508505165577,0.02159235067665577,0.02403375692665577,-0.02332952432334423,0.02403375692665577,-0.006952942349016666,0.01220703125,0.011357604525983334,0.013066588900983334,0.015263854525983334,-0.026484191417694092,0.026484191417694092,0.9945094585418701,0.019775390625,1.0211207866668701,1.0228297710418701,1.0245387554168701,0.9625270366668701,1.0245387554168701,0.9948357828696357,0.01974879079317765,1.0211498798779308,1.0228625999571317,1.024560825734067,0.9627901634018715,1.024560825734067
FMB1_R01,S01,QUERY,mid360_20260819_205431_part2_15s.bag,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.024868849125626636,0.05519144230303266,0.005454648286104202,0.008522115647792816,0.01717255637049675,0.019303087145090103,0.021433614194393158,-0.01158958300948143,0.021433614194393158,-0.002478715032339096,0.0010652653872966766,0.0007170774042606354,0.0007170774042606354,0.001782342791557312,-0.006739776581525803,0.006739776581525803,-0.011082694865763187,0.0021305298432707787,-0.006821636110544205,-0.005756372585892677,-0.004691107198596001,-0.017474282532930374,0.017474282532930374,0.013434369113769301,0.0033671947065634835,0.023161853706274643,0.02463887654786221,0.027225272419840987,0.006643002883940782,0.027225272419840987,0.0015728200087323785,0.012939453474245965,0.01963922567665577,0.02183649130165577,0.02378961630165577,-0.02259710244834423,0.02378961630165577,-0.006952942349016666,0.012451170943677425,0.011601745150983334,0.012822448275983334,0.014287292025983334,-0.027460753917694092,0.027460753917694092,0.9942653179168701,0.01953125,1.0211207866668701,1.0225856304168701,1.0245387554168701,0.9630153179168701,1.0245387554168701,0.99447355484447,0.01954895185370098,1.0211400020801829,1.0226144741173369,1.0245693610110604,0.9632860718604401,1.0245693610110604
FMB1_R01,S02,MAP,mid360_20260819_205707_part1_20s.bag,bf2c537c7335542e778c50b85506f2725d7a653228c8acfb6df8d1e301158ca0,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.02495994610347383,0.0539688852172642,0.005454648286104202,0.008522115647792816,0.018237821757793427,0.02036835253238678,0.022498879581689835,-0.01158958300948143,0.022498879581689835,-0.002478715032339096,0.0010652653872966766,0.0007170774042606354,0.0007170774042606354,0.00284760445356369,-0.007805038243532181,0.007805038243532181,-0.01214795932173729,0.002130528911948204,-0.007886901497840881,-0.006821636110544205,-0.004691107198596001,-0.01960480958223343,0.01960480958223343,0.013865478908282757,0.0037641560674125333,0.023962322869079768,0.02529802676162326,0.026881863884143833,0.005880710121010629,0.026881863884143833,0.007188054267317057,0.012939453125,0.02525446005165577,0.02720758505165577,0.02964899130165577,-0.01869085244834423,0.02964899130165577,0.004399596713483334,0.011840821243822575,0.023320496082305908,0.025517761707305908,0.028203308582305908,-0.016230285167694092,0.028203308582305908,0.9943873882293701,0.0186767578125,1.0208766460418701,1.0230739116668701,1.0257594585418701,0.9593532085418701,1.0257594585418701,0.994733537617149,0.018782864290581014,1.0210197847472184,1.0232739341841661,1.0259718835650562,0.9594363658881518,1.0259718835650562
FMB1_R01,S02,QUERY,mid360_20260819_205707_part2_15s.bag,e7b17a656c62af36298945cef76f1dfcf32143bdf09d8aa5bf0359689b410b75,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.02431511540914408,0.05916218040788861,0.006519912742078304,0.008522115647792816,0.018237821757793427,0.02036835253238678,0.021433614194393158,-0.010524318553507328,0.021433614194393158,-0.002478715032339096,0.0010652653872966766,0.0007170774042606354,0.001782342791557312,0.001782342791557312,-0.006739776581525803,0.006739776581525803,-0.011615327093750238,0.002663161139935255,-0.007886901497840881,-0.006821636110544205,-0.004691107198596001,-0.020670074969530106,0.020670074969530106,0.013895309109339102,0.003854164790807576,0.024095823004936793,0.025746074044401115,0.027583613585120136,0.005292745379713233,0.027583613585120136,0.006943913642317057,0.013183593284338713,0.02549860067665577,0.02818414755165577,0.03013727255165577,-0.01795843057334423,0.03013727255165577,0.004521667025983334,0.011962891556322575,0.023808777332305908,0.025517761707305908,0.027715027332305908,-0.016474425792694092,0.027715027332305908,0.9942653179168701,0.019287109375,1.0208766460418701,1.0230739116668701,1.0257594585418701,0.9593532085418701,1.0257594585418701,0.9945392317953903,0.01930426795957274,1.0211767925500614,1.023252770710987,1.0259559181034181,0.959409033081777,1.0259559181034181
FMB1_R01,S03,MAP,mid360_20260819_205939_part1_20s.bag,a6714e0474e2624bc65a54ec7509a77d0ba438aa13a6543d6c7d4c7e6a709f50,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.02486884928520056,0.05692037995705413,0.006519912742078304,0.007456852123141289,0.018237821757793427,0.02036835253238678,0.022498879581689835,-0.010524318553507328,0.022498879581689835,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.001782342791557312,-0.006739776581525803,0.006739776581525803,-0.011082694865763187,0.002130528911948204,-0.007886901497840881,-0.006821636110544205,-0.004691107198596001,-0.0185395460575819,0.0185395460575819,0.013859293931402273,0.0037819487911750233,0.023523232859077092,0.025125779755817406,0.026596811110550258,0.0056709198051034596,0.026596811110550258,-0.0013568674912676215,0.013183593400754035,0.01719781942665577,0.01915094442665577,0.02134821005165577,-0.02577093057334423,0.02577093057334423,-0.0013377079740166664,0.012451171875,0.017705261707305908,0.018925964832305908,0.021123230457305908,-0.021113097667694092,0.021123230457305908,0.9942653179168701,0.020751953125,1.0225856304168701,1.0238063335418701,1.0252711772918701,0.9620387554168701,1.0252711772918701,0.9944176508231829,0.020838826390788268,1.0226676149240457,1.0239128258631847,1.0253777104964676,0.9621774231681715,1.0253777104964676
FMB1_R01,S03,QUERY,mid360_20260819_205939_part2_15s.bag,1928a64316b7424c27201b57246948ca0cbbb0133a129814bfb7eaab494251a7,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.024914439051275057,0.0570965534565645,0.006519912742078304,0.007456852123141289,0.018237821757793427,0.02036835253238678,0.02356414496898651,-0.009459054097533226,0.02356414496898651,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.0007170774042606354,-0.007805038243532181,0.007805038243532181,-0.011082694865763187,0.002130528911948204,-0.007886901497840881,-0.006821636110544205,-0.004691107198596001,-0.0185395460575819,0.0185395460575819,0.01380566470151293,0.0038448122632542842,0.023659210746463676,0.025125779755817406,0.027042928014170343,0.006579412590407459,0.027042928014170343,-0.0013568674912676215,0.013183593400754035,0.01719781942665577,0.01924860067665579,0.02159235067665577,-0.02650335244834423,0.02650335244834423,-0.0013377079740166664,0.012451171875,0.017705261707305908,0.018925964832305908,0.020879089832305908,-0.021601378917694092,0.021601378917694092,0.9937770366668701,0.020751953125,1.0225856304168701,1.0240504741668701,1.0252711772918701,0.9617946147918701,1.0252711772918701,0.9940037030651334,0.020675225268296682,1.022651949876652,1.024123778667238,1.0253570927374678,0.961938528516198,1.0253570927374678
FMB1_R02,S01,MAP,mid360_20260819_210312_part1_20s.bag,ca5a5510b3def23b80838f5b4427d31ba3466e0ae0b0958b5b76fe059ddcc8e8,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.026115280251230766,0.058038752653475405,0.006519912742078304,0.008522115647792816,0.02036835253238678,0.022498879581689835,0.026759937405586243,-0.012654847465455532,0.026759937405586243,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.001782342791557312,-0.007805038243532181,0.007805038243532181,-0.01214795932173729,0.002130528911948204,-0.006821636110544205,-0.005756372585892677,-0.0025605782866477966,-0.0185395460575819,0.0185395460575819,0.014339526798752434,0.004364271510216159,0.025540132770115506,0.027245877815391416,0.03030020516020327,0.0051560055489930255,0.03030020516020327,-0.0018451487412676215,0.013427734724245965,0.01744196005165577,0.01939508505165577,0.02232477255165577,-0.02747991494834423,0.02747991494834423,-0.005488098599016666,0.012451170943677425,0.014043151400983334,0.016484558582305908,0.018925964832305908,-0.028193175792694092,0.028193175792694092,0.9942653179168701,0.019287109375,1.0201442241668701,1.0211207866668701,1.0225856304168701,0.9635035991668701,1.0225856304168701,0.9943791102744234,0.019104857373928863,1.020178654534404,1.0212344594429497,1.022637993451858,0.9637210789841358,1.022637993451858
FMB1_R02,S01,QUERY,mid360_20260819_210312_part2_15s.bag,89813a5ed1c60df0d1f5bfec677fe531c0b8fcd9f85748cfa60c3fa2dfc3b0ea,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.028504535185091915,0.05729403558791133,0.006519912742078304,0.008522115647792816,0.02036835253238678,0.022498879581689835,0.025694672018289566,-0.013720111921429634,0.025694672018289566,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.001782342791557312,-0.007805038243532181,0.007805038243532181,-0.011082694865763187,0.0021305298432707787,-0.006821636110544205,-0.005756372585892677,-0.004691107198596001,-0.0185395460575819,0.0185395460575819,0.014391166708732929,0.004419891171754368,0.025746074044401115,0.027354455948298183,0.030136468173023703,0.005880710121010629,0.030136468173023703,-0.0018451487412676215,0.013671874650754035,0.01744196005165577,0.019502506926655783,0.02183649130165577,-0.02723577432334423,0.02723577432334423,-0.005732239224016666,0.012451170943677425,0.013799010775983334,0.016240417957305908,0.018437683582305908,-0.027949035167694092,0.027949035167694092,0.9940211772918701,0.01904296875,1.0199000835418701,1.0213649272918701,1.0225856304168701,0.9635035991668701,1.0225856304168701,0.9942333977827051,0.019095679635847906,1.019990294177495,1.0214387004523298,1.0226086038560525,0.963686993310111,1.0226086038560525
FMB1_R02,S02,MAP,mid360_20260819_210526_part1_20s.bag,7ad6e7f25f903c31c76d79adc1b20b72de1e27484e851bd6bf219666439feedf,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.02671669756493146,0.057299237641464724,0.007585177198052406,0.008522117510437965,0.021433614194393158,0.02356414496898651,0.028890464454889297,-0.012654847465455532,0.028890464454889297,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.001782342791557312,-0.007805038243532181,0.007805038243532181,-0.01214795932173729,0.002130528911948204,-0.006821636110544205,-0.005756372585892677,-0.0036258436739444733,-0.01960480958223343,0.01960480958223343,0.014579475844724306,0.004706194719910451,0.02616333676315602,0.027957100248928255,0.032420579264927994,0.005357249907784018,0.032420579264927994,0.0015728200087323785,0.013671874650754035,0.02085992880165577,0.02256891317665577,0.02525446005165577,-0.02601507119834423,0.02601507119834423,-0.0035349735990166664,0.01220703125,0.015996277332305908,0.018437683582305908,0.020634949207305908,-0.026240050792694092,0.026240050792694092,0.9937770366668701,0.020263671875,1.0218532085418701,1.0233180522918701,1.0255153179168701,0.9617946147918701,1.0255153179168701,0.9940303798548973,0.02012640937726501,1.0219028985643026,1.023448662774193,1.0255986455785284,0.9619745720230217,1.0255986455785284
FMB1_R02,S02,QUERY,mid360_20260819_210526_part2_15s.bag,dbf11631d99d7c3bdebc3d8b657afa13596efd02338791423d5bf6b7cc89d880,NO_OBVIOUS_MOTION,UNKNOWN,False,0,0.025343446331228738,0.05679720555485514,0.007585177198052406,0.008522117510437965,0.021433614194393158,0.02356414496898651,0.026759937405586243,-0.013720111921429634,0.026759937405586243,-0.002478715032339096,0.0010652653872966766,-0.00034818798303604126,0.0007170774042606354,0.001782342791557312,-0.007805038243532181,0.007805038243532181,-0.01214795932173729,0.002130528911948204,-0.006821636110544205,-0.005756372585892677,-0.0014953147619962692,-0.01960480958223343,0.01960480958223343,0.01491319069781635,0.004813558032945049,0.02619122219738571,0.02813521019973033,0.030946227956955813,0.0038486661346603702,0.030946227956955813,0.0013286793837323785,0.013427734724245965,0.020383854582905703,0.02281305380165577,0.02549860067665577,-0.02577093057334423,0.02577093057334423,-0.0035349735990166664,0.012451170943677425,0.016240417957305908,0.018437683582305908,0.020390808582305908,-0.025995910167694092,0.025995910167694092,0.9940211772918701,0.02001953125,1.0216090679168701,1.0230739116668701,1.0252711772918701,0.9615504741668701,1.0252711772918701,0.9942003354884045,0.020090670530321486,1.0216645140670395,1.0231972715064201,1.0253396138129782,0.9618081490865599,1.0253396138129782
