scene_id,station_id,snapshot_id,query_timestamp,source_path,source_sha256,target_path,target_sha256,T0,open3d_source_sha256,pcl_source_sha256,open3d_target_sha256,pcl_target_sha256,backend_inputs_byte_identical
FMB1_R01,S01,FMB1_R01_S01_Q01,1787144103.7640028,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q01.npy,b138575f54b85431360e767afed21bf0689d9289c0be93b12df7463f6c5f6a91,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",b138575f54b85431360e767afed21bf0689d9289c0be93b12df7463f6c5f6a91,b138575f54b85431360e767afed21bf0689d9289c0be93b12df7463f6c5f6a91,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q02,1787144105.2641664,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q02.npy,e7ccc5916d176f912d51ac21ade3528baedaa7b7487a798d389edfd822270df5,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",e7ccc5916d176f912d51ac21ade3528baedaa7b7487a798d389edfd822270df5,e7ccc5916d176f912d51ac21ade3528baedaa7b7487a798d389edfd822270df5,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q03,1787144106.7641795,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q03.npy,5aca332fab82ff8f6256ff441126ae9a5430f97bc6d3bc658606f7105ea18cd6,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",5aca332fab82ff8f6256ff441126ae9a5430f97bc6d3bc658606f7105ea18cd6,5aca332fab82ff8f6256ff441126ae9a5430f97bc6d3bc658606f7105ea18cd6,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q04,1787144108.1653411,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q04.npy,2b498c7764b5839ed3681a291f0e3d655f162cba08551761139ca9403f02e65c,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",2b498c7764b5839ed3681a291f0e3d655f162cba08551761139ca9403f02e65c,2b498c7764b5839ed3681a291f0e3d655f162cba08551761139ca9403f02e65c,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q05,1787144109.6639335,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q05.npy,2eb1ac29fd0d65185ea9f59d074898378b2776a640ebb8662045d14500669748,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",2eb1ac29fd0d65185ea9f59d074898378b2776a640ebb8662045d14500669748,2eb1ac29fd0d65185ea9f59d074898378b2776a640ebb8662045d14500669748,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q06,1787144111.1628811,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q06.npy,dbdae97a20b42aeae972321409722960c5c0bbf36a11d192cc4140f0ee4344bc,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",dbdae97a20b42aeae972321409722960c5c0bbf36a11d192cc4140f0ee4344bc,dbdae97a20b42aeae972321409722960c5c0bbf36a11d192cc4140f0ee4344bc,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q07,1787144112.6651077,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q07.npy,0fa1c343914d270f22c221aa9462c7a0aff8fa7285aabe9913ed918d7286b0fc,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",0fa1c343914d270f22c221aa9462c7a0aff8fa7285aabe9913ed918d7286b0fc,0fa1c343914d270f22c221aa9462c7a0aff8fa7285aabe9913ed918d7286b0fc,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q08,1787144114.06477,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q08.npy,494923af855a191f271e9476d0938c577cf4daa987ea5e60618543c45b55310c,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",494923af855a191f271e9476d0938c577cf4daa987ea5e60618543c45b55310c,494923af855a191f271e9476d0938c577cf4daa987ea5e60618543c45b55310c,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q09,1787144115.563863,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q09.npy,6c8abaf6f9e5b4ba9e71f9f0c8a94e718210d6a4538f4ba7c9c62cc723aa1dbe,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",6c8abaf6f9e5b4ba9e71f9f0c8a94e718210d6a4538f4ba7c9c62cc723aa1dbe,6c8abaf6f9e5b4ba9e71f9f0c8a94e718210d6a4538f4ba7c9c62cc723aa1dbe,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
FMB1_R01,S01,FMB1_R01_S01_Q10,1787144117.0637145,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q10.npy,1f707f8c43d10a01147a5035041fb8f7ef9b579fcd35a14a6ed4be58d7371a39,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/targets/FMB1_R01/S01/target_points.npy,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",1f707f8c43d10a01147a5035041fb8f7ef9b579fcd35a14a6ed4be58d7371a39,1f707f8c43d10a01147a5035041fb8f7ef9b579fcd35a14a6ed4be58d7371a39,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,True
