scene_id,station_id,role,raw_filename,raw_absolute_path,canonical_filename,capture_prefix,sha256,bytes,mtime,mtime_utc,canonical_materialization
FMB1_R01,S01,MAP,mid360_20260819_205431_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_205431_part1_20s.bag,FMB1_R01_S01_MAP_20260819_205431.bag,20260819_205431,be239c600731bfe24b21f7fb2e821d731f9251a7b99b369da8d1dcfe4dc32529,65888852,1787144092.0,2026-08-19T12:54:52+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R01,S01,QUERY,mid360_20260819_205431_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_205431_part2_15s.bag,FMB1_R01_S01_QUERY_20260819_205431.bag,20260819_205431,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,49493569,1787144118.0,2026-08-19T12:55:18+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R01,S02,MAP,mid360_20260819_205707_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_205707_part1_20s.bag,FMB1_R01_S02_MAP_20260819_205707.bag,20260819_205707,bf2c537c7335542e778c50b85506f2725d7a653228c8acfb6df8d1e301158ca0,62254519,1787144248.0,2026-08-19T12:57:28+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R01,S02,QUERY,mid360_20260819_205707_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_205707_part2_15s.bag,FMB1_R01_S02_QUERY_20260819_205707.bag,20260819_205707,e7b17a656c62af36298945cef76f1dfcf32143bdf09d8aa5bf0359689b410b75,46559304,1787144274.0,2026-08-19T12:57:54+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R01,S03,MAP,mid360_20260819_205939_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_205939_part1_20s.bag,FMB1_R01_S03_MAP_20260819_205939.bag,20260819_205939,a6714e0474e2624bc65a54ec7509a77d0ba438aa13a6543d6c7d4c7e6a709f50,62996799,1787144399.0,2026-08-19T12:59:59+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R01,S03,QUERY,mid360_20260819_205939_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_205939_part2_15s.bag,FMB1_R01_S03_QUERY_20260819_205939.bag,20260819_205939,1928a64316b7424c27201b57246948ca0cbbb0133a129814bfb7eaab494251a7,47099334,1787144425.0,2026-08-19T13:00:25+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R02,S01,MAP,mid360_20260819_210312_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_210312_part1_20s.bag,FMB1_R02_S01_MAP_20260819_210312.bag,20260819_210312,ca5a5510b3def23b80838f5b4427d31ba3466e0ae0b0958b5b76fe059ddcc8e8,63781552,1787144613.0,2026-08-19T13:03:33+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R02,S01,QUERY,mid360_20260819_210312_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_210312_part2_15s.bag,FMB1_R02_S01_QUERY_20260819_210312.bag,20260819_210312,89813a5ed1c60df0d1f5bfec677fe531c0b8fcd9f85748cfa60c3fa2dfc3b0ea,47867043,1787144639.0,2026-08-19T13:03:59+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R02,S02,MAP,mid360_20260819_210526_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_210526_part1_20s.bag,FMB1_R02_S02_MAP_20260819_210526.bag,20260819_210526,7ad6e7f25f903c31c76d79adc1b20b72de1e27484e851bd6bf219666439feedf,63206997,1787144747.0,2026-08-19T13:05:47+00:00,MANIFEST_ONLY_NO_COPY
FMB1_R02,S02,QUERY,mid360_20260819_210526_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_210526_part2_15s.bag,FMB1_R02_S02_QUERY_20260819_210526.bag,20260819_210526,dbf11631d99d7c3bdebc3d8b657afa13596efd02338791423d5bf6b7cc89d880,47492133,1787144773.0,2026-08-19T13:06:13+00:00,MANIFEST_ONLY_NO_COPY
