admitted,aggregation,candidate_class_alignment,exclusion_reason,failure_reason,final_geometry_class,geometry_admission_status,geometry_condition_median,geometry_entropy_median,geometry_lambda_min_median,median_condition_number_trans,median_initial_correspondence_count,median_initial_valid_normal_correspondence_count,median_lambda_max_trans,median_lambda_mid_trans,median_lambda_min_trans,median_normalized_lambda_max_trans,median_normalized_lambda_mid_trans,median_normalized_lambda_min_trans,median_spectral_entropy_trans,replacement_allowed_under_preregistration,scene_id,semantic_candidate_label,snapshot_count,station_count
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,True,,,RICH,GEOMETRY_ADMITTED,1.9981959744945692,0.9527074836636167,0.24484681172613515,1.9981959744945692,14721.5,14721.5,0.48897449577571694,0.27092164582279943,0.24484681172613515,0.4889744957757171,0.27092164582279954,0.24484681172613515,0.9527074836636167,False,FMB1_R01,RICH_CANDIDATE,30,3
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,True,,,RICH,GEOMETRY_ADMITTED,2.5927717480786523,0.9376476654523527,0.18546358100898663,2.5927717480786523,15245.5,15245.5,0.48106162439305866,0.33711573760768754,0.18546358100898666,0.48106162439305866,0.33711573760768754,0.18546358100898663,0.9376476654523527,False,FMB1_R02,RICH_CANDIDATE,30,3
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,True,,,RICH,GEOMETRY_ADMITTED,1.765244609133981,0.9758269086223962,0.2350942867800197,1.765244609133981,13197.5,13197.5,0.4101171536889532,0.36875550003295793,0.2350942867800197,0.4101171536889533,0.36875550003295776,0.2350942867800197,0.9758269086223962,False,FMB1_R03,RICH_CANDIDATE,30,3
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,True,,,WEAK,GEOMETRY_ADMITTED,8.717839283940705,0.7076452355122542,0.08095527833771524,8.717839283940705,16219.0,16219.0,0.7068412647243159,0.21472014188982813,0.08095527833771524,0.7068412647243159,0.21472014188982802,0.08095527833771524,0.7076452355122542,False,FMB1_W01,WEAK_CANDIDATE,30,3
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,False,,SEMANTIC_CANDIDATE_GEOMETRY_CLASS_MISMATCH,RICH,GEOMETRY_REJECTED,1.5182110865077014,0.9870726476118592,0.26409792279695593,1.5182110865077014,16586.0,16586.0,0.40036961942690197,0.3386215984931382,0.264097922796956,0.40036961942690186,0.3386215984931383,0.26409792279695593,0.9870726476118592,True,FMB1_W02,WEAK_CANDIDATE,30,3
True,MEDIAN_OVER_ALL_30_NESTED_STATION_SNAPSHOTS,True,,,WEAK,GEOMETRY_ADMITTED,14.330203641138922,0.5190202262391768,0.057751952792107486,14.330203641138922,15557.0,15557.0,0.8273323995589656,0.11458704427946582,0.057751952792107486,0.8273323995589656,0.11458704427946577,0.057751952792107486,0.5190202262391768,False,FMB1_W03,WEAK_CANDIDATE,30,3
