snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,condition,source_point_count,target_point_count,source_raw_checksum,target_raw_checksum,reference_pose_raw_checksum,parent_index_raw_checksum,snapshot_checksum,parent_index_unique_count,parent_index_out_of_range_count,parent_index_duplicate_count,lineage_violation_count,source_inverse_transform_pass,source_all_finite,target_all_finite,reference_pose_all_finite,reference_rotation_determinant,reference_rotation_orthogonality_defect_fro,reference_rotation_quality_pass,reconstruction_error_median_m,reconstruction_error_q95_m,reconstruction_error_max_m,predicted_quantization_median_m,predicted_quantization_q95_m,predicted_quantization_max_m,closure_residual_max_m,float64_guard_max_m,max_normalized_closure_ratio,closure_residual_violation_count,actual_error_bound_violation_count,quantization_closure_pass,raw_checksum_pass,file_checksum_pass,metadata_checksum_pass,snapshot_checksum_pass,metadata_statistics_match
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/0,GEOMETRY_RICH_ROOM,1957656152,217775206,0,IDEAL_MATCHED,33327,44214,9a459283f89ce786eb2620546baff2a1fe810fd013d7ec9fc3e89114cd9a9cfa,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,6598bdb58901243a331998c288e4f9c0b15e222531dd766c4e24679ccbd6ddb2,f40226057b3e7930bc175cdfd8af7ee542daff62a2fbc8590c20b1ebe96275fd,33327,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/1,GEOMETRY_RICH_ROOM,1957656152,217775206,1,IDEAL_MATCHED,33169,44214,4ee07df358a2c34b7c7c9815b7f9c3f2541b07db7c21dec58ddf3bcc8b91cb5e,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,ba467680fb2e16cb8a5f63471741d2dd48aac3dbb5db341bfb2e1fae2b18b5f1,362c7f3d9d59bc4fb41e6f22eba7ded88d47dd3d81563ad4503c7a94e933636b,33169,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/2,GEOMETRY_RICH_ROOM,1957656152,217775206,2,IDEAL_MATCHED,33242,44214,c69064c96bb3ea389c18864962cb3112909e7a861187b19450a01da80feb6623,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,ccb74b8c9c569a57b71f5b30bbd2be76c7fb5481f63e5018e211fe979264b954,5025592da1b9587437ce8f5be76def21d4f03bec93469a9581a7eeaa344235ba,33242,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/3,GEOMETRY_RICH_ROOM,1957656152,217775206,3,IDEAL_MATCHED,33058,44214,d08268646f4cd417373ea7f6891b584c710ed595240e51de495f46923f1c379c,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,80b8b2882b4c8da20098797e19e72c6c35818f0b11358f3ea51ad6fae5d3392c,eb944b88bf7cce5900e56040c103d012540e5c6c7fe9416f110001f35835e63e,33058,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/0/4,GEOMETRY_RICH_ROOM,1957656152,217775206,4,IDEAL_MATCHED,33144,44214,5951ddce4b20916a452cab1f618f35ba76a12c9791a0ea3016f1112c32835825,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,09dd9d34ef1ff07c89f9ff1cb2a67c40ec03fff9a30d3ff8f07fb913ddf4b010,0566afa10d756c0d91ae84b8d28d26763805ea876e2a4362edf02403caea6ed4,33144,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/0,GEOMETRY_RICH_ROOM,1957656152,1664898153,0,IDEAL_MATCHED,33140,44214,b016ad3e2362adf2efa984250c726ceb4d1e0c3aaa5ad318032d41488ac9454b,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,5d39037a1aad2c05767c04a1625d4e006984d0ea25f795ea4b070ca90a0b7dce,583980d9d51ec0417de89100fc79d238314aca282a8615d2464f41715ffd763b,33140,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,1.7695128917694092e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/1,GEOMETRY_RICH_ROOM,1957656152,1664898153,1,IDEAL_MATCHED,33100,44214,32a05d0590382563ef3ed24cc5638dad07d3ebc6a981d4e5db4b0d0b9eb02e2a,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,98b6c7849d0751a991a2ce18898403ccd0e55c819ad331b177df352935d3e7f0,c4abc41726aa47abf25884a456589c2d0dbd10ad1b1b1e6d0e5ea545f2edede7,33100,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.979516058254193e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/2,GEOMETRY_RICH_ROOM,1957656152,1664898153,2,IDEAL_MATCHED,33215,44214,e40e25edfc80b2c4117578e357eaf322075005bab9bd03726dba8e12ff46b2fd,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,7e29d25e17d1e4c8382aff9cf345eee100b56a169124a064b28cfd65711dd309,d6b95df24ff653f6da8e09ac2e285a4660a9df48d2bc273e4759ccd01b88dad6,33215,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.971204900095388e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/3,GEOMETRY_RICH_ROOM,1957656152,1664898153,3,IDEAL_MATCHED,33201,44214,3c5112de0a732168d6aea6de971a60da4d695ea92b2d3f8dcef9524b7106ce35,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,451b6d266b6f80bfe75d4265e678e89014ddf4a3fa73236afa07d16943f71eb7,64db740276c0dd51eae86a5456d098c37235cffb7fa2626f07cf2b795ea3d555,33201,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.971204900095388e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/1/1/4,GEOMETRY_RICH_ROOM,1957656152,1664898153,4,IDEAL_MATCHED,33180,44214,43f2f67cc412e0ac09356c99feab8fea9e8ba54f8ac4ef61d2de3946eaef2569,6659eb404a2d58fac0557186e1a47ee9aae5741cafbc270d6a7b27c2378572b2,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,714e27cca37ab9265f1cbffcef45d1004c0cd35563a053174a23e90ddc462d61,3493e4ceb28be2d56c6c916b8cf7e4315335e0920832831817c8a329bca63fc2,33180,0,0,0,True,True,True,True,1.0,0.0,True,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,1.4901161193847656e-08,5.960464477539063e-08,0.0,4.971204900095388e-13,0.0,0,0,True,True,True,True,True,True
