assigned_rich_scene_ids,assigned_weak_scene_ids,backend,endpoint,greater_than_or_equal_observed,observed_allocation,statistic
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,-8.473160865455557e-07
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,4.041155194976103e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,8.473160865455557e-07
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,-8.473160865455557e-07
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_rad,False,False,-4.041155194976103e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,8.473160865455557e-07
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_rad,False,False,-6.697364484280931e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,-2.7409408979593838e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,False,False,-6.697364484280931e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,-8.473160865455557e-07
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,4.041155194976103e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,False,8.473160865455557e-07
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_rad,True,True,-2.7409408979593838e-05
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0032380221179320497
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132938
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0020332667689071876
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132938
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0045552402396259436
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0032380221179320497
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0045552402396259436
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132938
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0020332667689071876
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132938
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132938
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0020332667689071876
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132938
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0045552402396259436
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0032380221179320497
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0045552402396259436
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132938
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0020332667689071876
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132938
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,True,-0.0032380221179320497
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.001570443453478709
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.8547635672602577e-05
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0023154113702949803
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.8547635672602577e-05
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0038373071881010867
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.001570443453478709
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0038373071881010867
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.8547635672602577e-05
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0023154113702949803
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.8547635672602577e-05
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.8547635672602577e-05
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0023154113702949803
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.8547635672602577e-05
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0038373071881010867
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.001570443453478709
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0038373071881010867
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.8547635672602577e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0023154113702949803
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.8547635672602577e-05
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,True,-0.001570443453478709
