backend,denominator,finite_vector_n,mean_vector,planned_n,scene_id,station_id,status,systematic_fraction
PCL_POINT_TO_PLANE,0.0004748117336265691,10,"[-0.00019016721189473172, -0.0001223980259055679, -0.00011964026125497185]",10,FMB1_R03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.5388427419006424
PCL_POINT_TO_PLANE,0.0006413081796787814,10,"[-0.00025895261169353037, -8.192643235815922e-07, -0.0003301014559838222]",10,FMB1_R03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.6542131719313041
PCL_POINT_TO_PLANE,0.0007022926857022449,10,"[-0.0005308205261826515, -7.507024492952042e-05, 3.126830397377489e-05]",10,FMB1_R03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7646579251708213
PCL_POINT_TO_PLANE,0.000512785160195716,10,"[0.00042531617800705134, -0.00013197432526794727, 9.141537557297852e-05]",10,FMB1_W01,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.8865454531678065
PCL_POINT_TO_PLANE,0.00041717816753843596,10,"[8.543741605535616e-05, -3.367846534274577e-05, 1.9771329243667422e-05]",10,FMB1_W01,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.22517922397508044
PCL_POINT_TO_PLANE,0.0005645102596125199,10,"[-0.0001409518918080721, -9.323221165686846e-05, 3.4287646212760595e-05]",10,FMB1_W01,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.30546713842395806
PCL_POINT_TO_PLANE,0.00039166897229590044,10,"[0.00023177574439614546, -3.364934784713114e-05, -5.3134251038500226e-05]",10,FMB1_W02,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.6131639340696259
PCL_POINT_TO_PLANE,0.0006814834209037429,10,"[0.0003808166628004983, 2.019385719904676e-05, 0.00016570585648878478]",10,FMB1_W02,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.6101358860847377
PCL_POINT_TO_PLANE,0.0005808809986873046,10,"[-0.00042822362956940196, 8.953698736604565e-05, -0.00015038099445519038]",10,FMB1_W02,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.7963914861973741
PCL_POINT_TO_PLANE,0.0008107304047057394,10,"[0.00011911582987522706, 3.97144884118461e-05, 0.00021393855786300264]",10,FMB1_W03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.30597539582525174
PCL_POINT_TO_PLANE,0.0005269982535400959,10,"[-0.00013762366370428936, 8.974749725894071e-05, 0.00017152586733573116]",10,FMB1_W03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.4507046148373048
PCL_POINT_TO_PLANE,0.0007919078414232427,10,"[-3.5228558408562095e-05, -7.511094495384895e-05, 0.00026681198323785793]",10,FMB1_W03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.3528346049395289
