backend,centered_correspondence_turnover,centered_translation_norm_m,scene_id,scene_row_index
OPEN3D_POINT_TO_PLANE,-0.013080273914786555,3.3247354284305264e-05,FMB1_R03,4
OPEN3D_POINT_TO_PLANE,-0.01728640992496605,-0.00022688118782358601,FMB1_R03,5
OPEN3D_POINT_TO_PLANE,-0.03102468896070859,-0.00010993982478469972,FMB1_R03,6
OPEN3D_POINT_TO_PLANE,-0.030325424539592583,-0.00044935337140709355,FMB1_R03,7
OPEN3D_POINT_TO_PLANE,-0.01693524428267207,1.6072208362272753e-06,FMB1_R03,8
OPEN3D_POINT_TO_PLANE,-0.000991421460485531,1.9464069119724662e-05,FMB1_R03,9
OPEN3D_POINT_TO_PLANE,-0.025737638770389648,-0.0003326056397086803,FMB1_R03,10
OPEN3D_POINT_TO_PLANE,0.05067354841417654,0.0003086380882527008,FMB1_R03,11
OPEN3D_POINT_TO_PLANE,-0.010412557044393644,-0.0002241945802896412,FMB1_R03,12
OPEN3D_POINT_TO_PLANE,0.000991421460485531,0.0001042032117495867,FMB1_R03,13
OPEN3D_POINT_TO_PLANE,-0.016368095476325062,-3.3412622277681774e-05,FMB1_R03,14
OPEN3D_POINT_TO_PLANE,-0.011004113211930566,5.0170985612718274e-05,FMB1_R03,15
OPEN3D_POINT_TO_PLANE,0.010168651323758049,0.000526368295386933,FMB1_R03,16
OPEN3D_POINT_TO_PLANE,0.007612277886594854,-1.3149434600168738e-05,FMB1_R03,17
OPEN3D_POINT_TO_PLANE,-0.03531453102989818,-0.00030163200352539653,FMB1_R03,18
OPEN3D_POINT_TO_PLANE,0.0032337610078540524,-1.6072208362272753e-06,FMB1_R03,19
OPEN3D_POINT_TO_PLANE,0.018342044542674796,0.0001334964009724218,FMB1_R03,20
OPEN3D_POINT_TO_PLANE,0.016206429229784602,-0.00014214896506338764,FMB1_R03,21
OPEN3D_POINT_TO_PLANE,0.019815662053937422,8.005715542268852e-05,FMB1_R03,22
OPEN3D_POINT_TO_PLANE,-0.008098301118870499,-0.00032791777294195724,FMB1_R03,23
OPEN3D_POINT_TO_PLANE,0.013768479504619402,-0.00019887250007143815,FMB1_R03,24
OPEN3D_POINT_TO_PLANE,0.0053851848230457855,3.854259776163221e-06,FMB1_R03,25
OPEN3D_POINT_TO_PLANE,0.016779865945353356,8.542855931563918e-05,FMB1_R03,26
