scene_id,scene_class,snapshot_id,geometry_matrix_definition,geometry_matrix_source,valid_normal_count,information_h00,information_h01,information_h02,information_h10,information_h11,information_h12,information_h20,information_h21,information_h22,geometry_lambda_min,geometry_lambda_mid,geometry_lambda_max,geometry_condition_number,geometry_entropy,direction_class,direction_source,direction_vector_x,direction_vector_y,direction_vector_z,direction_vector_norm,direction_sign_canonicalization,direction_valid,invalid_reason,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
R_TEST_01,Rich,R_TEST_01_Q01,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15376,0.25619807301329617,0.021588525299122825,0.0017679815976377475,0.021588525299122825,0.44350044260210963,-0.004720560995217646,0.0017679815976377475,-0.004720560995217646,0.30030148438459436,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q01,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15376,0.25619807301329617,0.021588525299122825,0.0017679815976377475,0.021588525299122825,0.44350044260210963,-0.004720560995217646,0.0017679815976377475,-0.004720560995217646,0.30030148438459436,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15372,0.2585255982082642,0.01872140120440686,0.006489406133027814,0.01872140120440686,0.4480651448833451,-0.008347418659169135,0.006489406133027814,-0.008347418659169135,0.2934092569083907,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15372,0.2585255982082642,0.01872140120440686,0.006489406133027814,0.01872140120440686,0.4480651448833451,-0.008347418659169135,0.006489406133027814,-0.008347418659169135,0.2934092569083907,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,strong,lambda_max,0.09541572717285077,0.9942327348519906,-0.048960269166003365,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15372,0.25588138626869145,0.01995038609799854,0.0029969751024373735,0.01995038609799854,0.45039275855674366,-0.007623246025430203,0.0029969751024373735,-0.007623246025430203,0.2937258551745652,0.2535039833280639,0.2937445333464529,0.4527514833254835,1.7859738430207226,0.9707870686256072,weak,lambda_min,0.9901793197255586,-0.10395255779939754,-0.09348144476201198,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15372,0.25588138626869145,0.01995038609799854,0.0029969751024373735,0.01995038609799854,0.45039275855674366,-0.007623246025430203,0.0029969751024373735,-0.007623246025430203,0.2937258551745652,0.2535039833280639,0.2937445333464529,0.4527514833254835,1.7859738430207226,0.9707870686256072,strong,lambda_max,0.10002626331853963,0.9939319165659176,-0.04576124865136622,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15260,0.2570966881133341,0.01984601149551515,0.0019498955278103006,0.01984601149551515,0.4558227293450268,-0.006451084296642554,0.0019498955278103006,-0.006451084296642554,0.2870805825416389,0.2549266309248976,0.2870611201973129,0.45801224887778963,1.7966433997738034,0.9688050897573318,weak,lambda_min,0.9916858789846642,-0.10054501297153282,-0.0803107576166998,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15260,0.2570966881133341,0.01984601149551515,0.0019498955278103006,0.01984601149551515,0.4558227293450268,-0.006451084296642554,0.0019498955278103006,-0.006451084296642554,0.2870805825416389,0.2549266309248976,0.2870611201973129,0.45801224887778963,1.7966433997738034,0.9688050897573318,strong,lambda_max,0.09788424537633204,0.9945312586570152,-0.03641771630949986,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15366,0.24377730309929732,0.02068081988888231,0.004626764900596886,0.02068081988888231,0.45553381036780816,-0.008204397363665442,0.004626764900596886,-0.008204397363665442,0.3006888865328949,0.2412841460487334,0.3008017352156844,0.45791411873558235,1.8978209975018212,0.9667395231485169,weak,lambda_min,0.990916832556133,-0.09912966010198203,-0.09086881447992096,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,H_trans=(N.T@N)/valid_normal_count,phase_a_harness.real_data_preparation.boreas_v2_stage2_selection.TargetGeometryContext,15366,0.24377730309929732,0.02068081988888231,0.004626764900596886,0.02068081988888231,0.45553381036780816,-0.008204397363665442,0.004626764900596886,-0.008204397363665442,0.3006888865328949,0.2412841460487334,0.3008017352156844,0.45791411873558235,1.8978209975018212,0.9667395231485169,strong,lambda_max,0.09496353796612403,0.9942696862004683,-0.049088874093617244,1.0,largest_absolute_component_nonnegative,true,,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
