scene_id,scene_class,snapshot_id,backend,perturbation_magnitude_m,perturbation_sign,weak_run_id,strong_run_id,weak_final_translation_error_m,strong_final_translation_error_m,weak_minus_strong_final_translation_error_m,weak_strong_error_ratio,weak_pose_recovered,strong_pose_recovered,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
R_TEST_01,Rich,R_TEST_01_Q02,open3d,0.05,1,CP-R_TEST_01_Q02-W-50MM-POS-O3D,CP-R_TEST_01_Q02-S-50MM-POS-O3D,0.0006231518338693399,0.0006181798451090649,4.9719887602749264e-06,1.0080429486655258,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.01,-1,CP-R_TEST_01_Q02-W-10MM-NEG-PCL,CP-R_TEST_01_Q02-S-10MM-NEG-PCL,0.0006872027903063455,0.0006824611094840697,4.741680822275781e-06,1.0069479135973922,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.01,1,CP-R_TEST_01_Q02-W-10MM-POS-PCL,CP-R_TEST_01_Q02-S-10MM-POS-PCL,0.0006901421006917631,0.000688117935132834,2.0241655589290806e-06,1.0029415968623727,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.03,-1,CP-R_TEST_01_Q02-W-30MM-NEG-PCL,CP-R_TEST_01_Q02-S-30MM-NEG-PCL,0.000687160875269298,0.0006873027714372759,-1.4189616797787713e-07,0.9997935463468579,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.03,1,CP-R_TEST_01_Q02-W-30MM-POS-PCL,CP-R_TEST_01_Q02-S-30MM-POS-PCL,0.0006915211921520283,0.0006867331037362388,4.788088415789483e-06,1.006972269706731,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.05,-1,CP-R_TEST_01_Q02-W-50MM-NEG-PCL,CP-R_TEST_01_Q02-S-50MM-NEG-PCL,0.0006881854189874099,0.000687270129864169,9.152891232408521e-07,1.0013317749214878,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q02,pcl,0.05,1,CP-R_TEST_01_Q02-W-50MM-POS-PCL,CP-R_TEST_01_Q02-S-50MM-POS-PCL,0.0006916318400056346,0.0006915496960995222,8.214390611238544e-08,1.0001187823616664,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.01,-1,CP-R_TEST_01_Q03-W-10MM-NEG-O3D,CP-R_TEST_01_Q03-S-10MM-NEG-O3D,0.0005787300061623238,0.0005809426406957539,-2.2126345334301653e-06,0.9961913029300444,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.01,1,CP-R_TEST_01_Q03-W-10MM-POS-O3D,CP-R_TEST_01_Q03-S-10MM-POS-O3D,0.0006222652496033482,0.0005822455263293979,4.001972327395025e-05,1.0687334147953755,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.03,-1,CP-R_TEST_01_Q03-W-30MM-NEG-O3D,CP-R_TEST_01_Q03-S-30MM-NEG-O3D,0.0005787300061628335,0.0006222652496385651,-4.353524347573158e-05,0.9300374824063878,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.03,1,CP-R_TEST_01_Q03-W-30MM-POS-O3D,CP-R_TEST_01_Q03-S-30MM-POS-O3D,0.0006222652528367086,0.0005821465727094924,4.011868012721617e-05,1.0689150842896682,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.05,-1,CP-R_TEST_01_Q03-W-50MM-NEG-O3D,CP-R_TEST_01_Q03-S-50MM-NEG-O3D,0.0005773490903924523,0.0006222652496391095,-4.491615924665719e-05,0.9278183069475487,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,open3d,0.05,1,CP-R_TEST_01_Q03-W-50MM-POS-O3D,CP-R_TEST_01_Q03-S-50MM-POS-O3D,0.0006222652496379224,0.0005822455263290456,4.001972330887685e-05,1.068733414855403,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.01,-1,CP-R_TEST_01_Q03-W-10MM-NEG-PCL,CP-R_TEST_01_Q03-S-10MM-NEG-PCL,0.000748659035616286,0.0007509417120401823,-2.2826764238963225e-06,0.996960248195969,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.01,1,CP-R_TEST_01_Q03-W-10MM-POS-PCL,CP-R_TEST_01_Q03-S-10MM-POS-PCL,0.0007491208154438484,0.0007559805536504359,-6.859738206587448e-06,0.9909260388068667,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.03,-1,CP-R_TEST_01_Q03-W-30MM-NEG-PCL,CP-R_TEST_01_Q03-S-30MM-NEG-PCL,0.0007502797871905396,0.00074815193135671,2.1278558338295745e-06,1.0028441493560951,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.03,1,CP-R_TEST_01_Q03-W-30MM-POS-PCL,CP-R_TEST_01_Q03-S-30MM-POS-PCL,0.0007491701487232196,0.0007510442270477318,-1.8740783245122569e-06,0.9975047031093242,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.05,-1,CP-R_TEST_01_Q03-W-50MM-NEG-PCL,CP-R_TEST_01_Q03-S-50MM-NEG-PCL,0.0007545300725250113,0.000748897163321166,5.632909203845231e-06,1.007521605742055,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q03,pcl,0.05,1,CP-R_TEST_01_Q03-W-50MM-POS-PCL,CP-R_TEST_01_Q03-S-50MM-POS-PCL,0.0007514653739711844,0.0007515017634080028,-3.6389436818429904e-08,0.9999515777093411,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.01,-1,CP-R_TEST_01_Q04-W-10MM-NEG-O3D,CP-R_TEST_01_Q04-S-10MM-NEG-O3D,0.0004595226966813878,0.00046287742359318504,-3.354726911797257e-06,0.9927524507768051,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.01,1,CP-R_TEST_01_Q04-W-10MM-POS-O3D,CP-R_TEST_01_Q04-S-10MM-POS-O3D,0.00048604344557829,0.0004603021963826334,2.5741249195656592e-05,1.0559224991710854,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.03,-1,CP-R_TEST_01_Q04-W-30MM-NEG-O3D,CP-R_TEST_01_Q04-S-30MM-NEG-O3D,0.00045902604651933685,0.00045904799172436184,-2.1945205024985915e-08,0.9999521940942546,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.03,1,CP-R_TEST_01_Q04-W-30MM-POS-O3D,CP-R_TEST_01_Q04-S-30MM-POS-O3D,0.0004880451663532656,0.0004576269392541074,3.0418227099158156e-05,1.066469485272736,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.05,-1,CP-R_TEST_01_Q04-W-50MM-NEG-O3D,CP-R_TEST_01_Q04-S-50MM-NEG-O3D,0.0004570394172532614,0.00045904799172385573,-2.008574470594316e-06,0.9956244782532399,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,open3d,0.05,1,CP-R_TEST_01_Q04-W-50MM-POS-O3D,CP-R_TEST_01_Q04-S-50MM-POS-O3D,0.00048804516635888396,0.000462198834208727,2.5846332150156984e-05,1.0559203750360064,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.01,-1,CP-R_TEST_01_Q04-W-10MM-NEG-PCL,CP-R_TEST_01_Q04-S-10MM-NEG-PCL,0.00047760957170030075,0.0004755783086838702,2.0312630164305697e-06,1.004271143110063,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.01,1,CP-R_TEST_01_Q04-W-10MM-POS-PCL,CP-R_TEST_01_Q04-S-10MM-POS-PCL,0.00047761122281742214,0.00047427221116882237,3.3390116485997718e-06,1.0070402852411928,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.03,-1,CP-R_TEST_01_Q04-W-30MM-NEG-PCL,CP-R_TEST_01_Q04-S-30MM-NEG-PCL,0.0004777180151440816,0.00041774849961261664,5.996951553146495e-05,1.143554113508667,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.03,1,CP-R_TEST_01_Q04-W-30MM-POS-PCL,CP-R_TEST_01_Q04-S-30MM-POS-PCL,0.0004749541924694722,0.00047439980473371296,5.543877357592391e-07,1.0011686086929787,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.05,-1,CP-R_TEST_01_Q04-W-50MM-NEG-PCL,CP-R_TEST_01_Q04-S-50MM-NEG-PCL,0.00047763606314134456,0.0004174525557963369,6.018350734500764e-05,1.1441684965377705,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q04,pcl,0.05,1,CP-R_TEST_01_Q04-W-50MM-POS-PCL,CP-R_TEST_01_Q04-S-50MM-POS-PCL,0.00047413838890901673,0.00047746881454551745,-3.330425636500719e-06,0.9930248310778772,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.01,-1,CP-R_TEST_01_Q05-W-10MM-NEG-O3D,CP-R_TEST_01_Q05-S-10MM-NEG-O3D,0.0004850385941037274,0.0004844026044782017,6.35989625525702e-07,1.0013129360157154,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.01,1,CP-R_TEST_01_Q05-W-10MM-POS-O3D,CP-R_TEST_01_Q05-S-10MM-POS-O3D,0.0004986814165376034,0.0004995387464799923,-8.573299423888896e-07,0.9982837568688514,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.03,-1,CP-R_TEST_01_Q05-W-30MM-NEG-O3D,CP-R_TEST_01_Q05-S-30MM-NEG-O3D,0.0004556160221916484,0.00048503859409118843,-2.9422571899540017e-05,0.9393397303679127,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.03,1,CP-R_TEST_01_Q05-W-30MM-POS-O3D,CP-R_TEST_01_Q05-S-30MM-POS-O3D,0.0004981808111373331,0.0004496856491204814,4.8495162016851665e-05,1.1078423607951489,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.05,-1,CP-R_TEST_01_Q05-W-50MM-NEG-O3D,CP-R_TEST_01_Q05-S-50MM-NEG-O3D,0.00045561602218283646,0.00048440260475395057,-2.8786582571114117e-05,0.940573022752972,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,open3d,0.05,1,CP-R_TEST_01_Q05-W-50MM-POS-O3D,CP-R_TEST_01_Q05-S-50MM-POS-O3D,0.0004995387464796001,0.00044968564236181794,4.98531041177822e-05,1.1108621210495981,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.01,-1,CP-R_TEST_01_Q05-W-10MM-NEG-PCL,CP-R_TEST_01_Q05-S-10MM-NEG-PCL,0.0005127991716615851,0.0005089498559858048,3.849315675780326e-06,1.0075632513311639,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.01,1,CP-R_TEST_01_Q05-W-10MM-POS-PCL,CP-R_TEST_01_Q05-S-10MM-POS-PCL,0.0005396079787579002,0.0005439548467403004,-4.346867982400163e-06,0.9920087705653343,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.03,-1,CP-R_TEST_01_Q05-W-30MM-NEG-PCL,CP-R_TEST_01_Q05-S-30MM-NEG-PCL,0.0005454937760878175,0.000513391171144233,3.210260494358448e-05,1.0625304967205318,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.03,1,CP-R_TEST_01_Q05-W-30MM-POS-PCL,CP-R_TEST_01_Q05-S-30MM-POS-PCL,0.0005395651600432881,0.0005548099582794111,-1.5244798236123012e-05,0.9725224862880967,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.05,-1,CP-R_TEST_01_Q05-W-50MM-NEG-PCL,CP-R_TEST_01_Q05-S-50MM-NEG-PCL,0.0005449042188972903,0.0005087089470229912,3.619527187429905e-05,1.0711512390063451,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q05,pcl,0.05,1,CP-R_TEST_01_Q05-W-50MM-POS-PCL,CP-R_TEST_01_Q05-S-50MM-POS-PCL,0.0005310751690991,0.0005544426661426175,-2.3367497043517505e-05,0.9578540785721084,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.01,-1,CP-R_TEST_01_Q06-W-10MM-NEG-O3D,CP-R_TEST_01_Q06-S-10MM-NEG-O3D,0.00025292431244965715,0.00025292431157318004,8.764771135434668e-13,1.000000003465373,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.01,1,CP-R_TEST_01_Q06-W-10MM-POS-O3D,CP-R_TEST_01_Q06-S-10MM-POS-O3D,0.0002555765442399678,0.000255576544237983,1.9847947070605887e-15,1.000000000007766,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.03,-1,CP-R_TEST_01_Q06-W-30MM-NEG-O3D,CP-R_TEST_01_Q06-S-30MM-NEG-O3D,0.00025292431244929476,0.0002532316886382364,-3.073761889416603e-07,0.9987861859209067,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.03,1,CP-R_TEST_01_Q06-W-30MM-POS-O3D,CP-R_TEST_01_Q06-S-30MM-POS-O3D,0.0002596722012814879,0.0002555765421667107,4.09565911477721e-06,1.016025176176402,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.05,-1,CP-R_TEST_01_Q06-W-50MM-NEG-O3D,CP-R_TEST_01_Q06-S-50MM-NEG-O3D,0.0002529243115735042,0.00025701266806226207,-4.0883564887578576e-06,0.9840927821979287,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
