scene_class,backend,direction_class,perturbation_magnitude_m,n,solver_success_rate,finite_rate,pose_recovery_rate,final_translation_error_m_median,final_translation_error_m_q25,final_translation_error_m_q75,final_translation_error_m_q95,final_translation_error_m_max,final_rotation_error_deg_median,final_rotation_error_deg_q25,final_rotation_error_deg_q75,final_rotation_error_deg_q95,final_rotation_error_deg_max,translation_error_reduction_ratio_median,translation_error_reduction_ratio_q25,translation_error_reduction_ratio_q75,fitness_median,rmse_median,correspondence_count_median,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
Rich,open3d,strong,0.01,20,1.0,1.0,1.0,0.0005402406935878731,0.0004622336167905471,0.0006320626904859088,0.0008855872101827475,0.0008907147303528289,0.01623629740801735,0.01195079195189874,0.020223861668343536,0.025842340767306838,0.02610039018552371,0.9459759306412127,0.9367937309514092,0.9537766383209453,1.0,0.019890647257004974,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,strong,0.03,20,1.0,1.0,1.0,0.0005371386296487109,0.0004556416167207009,0.0006324862443196504,0.0008915241658425289,0.0009002529294918215,0.016130594038893366,0.014360526696732767,0.020198432247709765,0.02594793640818642,0.02707113711806112,0.9820953790117096,0.9789171251893449,0.98481194610931,1.0,0.019890645610835058,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,strong,0.05,20,1.0,1.0,1.0,0.00053718810965936,0.0004567074043833463,0.0006324862443200719,0.0008913138673851338,0.0009026974710001685,0.01613059386101496,0.014121561142448093,0.02021833742955277,0.025882965210705922,0.026912879053451494,0.9892562378068128,0.9873502751135985,0.9908658519123331,1.0,0.01989064561083507,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,weak,0.01,20,1.0,1.0,1.0,0.0005387057113499635,0.0004786596197481425,0.0006344434905735221,0.0008867953556004049,0.0009002529294919834,0.01622665116212717,0.014179070871406936,0.020228173265088793,0.02585119506734492,0.02707113711805736,0.9461294288650037,0.9365556509426478,0.9521340380251857,1.0,0.01989065036645319,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,weak,0.03,20,1.0,1.0,1.0,0.0005384554086500834,0.00045817354043741474,0.0006324885322488958,0.000886795355586518,0.0009002529294736099,0.016187315230203024,0.014358665210520283,0.020230640397797893,0.02585119506675646,0.02707113711726718,0.9820514863783305,0.9789170489250368,0.9847275486520861,1.0,0.019891004286582904,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,open3d,weak,0.05,20,1.0,1.0,1.0,0.0005384439184360262,0.0004566835684856552,0.000634443489352003,0.000887302198445271,0.0009017669713847498,0.01619184199354122,0.014161083592290251,0.020203803014139293,0.025886714646576034,0.027181438602998112,0.9892311216312795,0.98731113021296,0.9908663286302869,1.0,0.019890760565561716,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,strong,0.01,20,1.0,1.0,1.0,0.0005971518408686379,0.00047485863491335755,0.0007376470453497004,0.000896842339090371,0.0009071091101721587,0.018781827416775733,0.01334518877318391,0.023814384121830838,0.028646699618167966,0.028671269517925903,0.9402848159131363,0.9262352954650299,0.9525141365086642,0.0003954602259950379,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,strong,0.03,20,1.0,1.0,1.0,0.0006016114632193798,0.00046023697845343887,0.000738711018664067,0.0008980919850158463,0.0009176299335696161,0.01802527357827334,0.0133970601798129,0.023843312227512233,0.02862078422608477,0.028649022067853542,0.9799462845593541,0.9753762993778644,0.9846587673848853,0.0003954643590270661,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,strong,0.05,20,1.0,1.0,1.0,0.0006013307772507388,0.00046106863849539547,0.0007369583644401755,0.0008960815821255951,0.000912716564383252,0.01802828347959319,0.01333796497457212,0.023373988504374762,0.02864753111946036,0.028702820987289414,0.9879733844549852,0.9852608327111965,0.990778627230092,0.0003954597547225488,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,weak,0.01,20,1.0,1.0,1.0,0.0005938760749017054,0.0004770456715630806,0.0007374013791262207,0.0008966499962284367,0.0009123473219893058,0.018724177285709378,0.013346052725154899,0.023522346568157458,0.02862340131853323,0.028681309502294965,0.9406123925098295,0.926259862087378,0.952295432843692,0.00039546453363328545,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,weak,0.03,20,1.0,1.0,1.0,0.0005955174423597808,0.000476753195111167,0.0007382101398959049,0.0008975489961977004,0.0009123812033875027,0.018783171350333472,0.013176526804405375,0.023523701170478275,0.028623254077999732,0.02867549202583169,0.9801494185880073,0.9753929953368032,0.9841082268296277,0.00039553524527595225,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Rich,pcl,weak,0.05,20,1.0,1.0,1.0,0.000596625741363687,0.0004684865972004869,0.0007381158617374263,0.0008968168136607156,0.0009178098967273203,0.01876541490417005,0.013432820040801664,0.023799563573102294,0.028648845132401006,0.02870233398315378,0.9880674851727262,0.9852376827652515,0.9906302680559902,0.00039552047835576847,,15372.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,strong,0.01,20,1.0,1.0,1.0,0.0005904092587452323,0.0004513292142862298,0.0007016653092328356,0.0008211052167515425,0.0008219108945583703,0.009606347650488779,0.005675055580576893,0.01476320190836529,0.015935956846231444,0.01595678593992516,0.9409590741254767,0.9298334690767165,0.954867078571377,1.0,0.020609356002243694,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,strong,0.03,20,1.0,1.0,1.0,0.0005873978473768745,0.00045214015306123054,0.0007110132107128825,0.0007852041335932261,0.0008211013654806008,0.00962424207368372,0.005609222260669212,0.014772635111334108,0.015902729715224145,0.01593430383423623,0.9804200717541043,0.9762995596429038,0.9849286615646256,1.0,0.020609357143420402,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,strong,0.05,20,1.0,1.0,1.0,0.0005904092926825538,0.0004521401487517472,0.0007016310799176677,0.0008219108944358047,0.0008219108944358613,0.009606347729617234,0.005674722650970482,0.014772633813635768,0.01593432796508741,0.015934859564983726,0.9881918141463489,0.9859673784016466,0.9909571970249651,1.0,0.020609349081761798,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,weak,0.01,20,1.0,1.0,1.0,0.0005944153712904679,0.000452140148753506,0.000701480410931678,0.0008211052146036454,0.000821910894436693,0.009606845852434879,0.00561040784457254,0.01477263381368325,0.015854482822675067,0.01598435766487529,0.9405584628709531,0.9298519589068321,0.9547859851246494,1.0,0.020609358315618113,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,weak,0.03,20,1.0,1.0,1.0,0.0005919382998424235,0.000451329220750146,0.0007003430063151052,0.0008211052146367356,0.0008219108944361712,0.00960684578880022,0.005610407844572368,0.014763201948249906,0.015871383694786603,0.015984361482863668,0.9802687233385858,0.9766552331228298,0.9849556926416618,1.0,0.02060935831540206,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,open3d,weak,0.05,20,1.0,1.0,1.0,0.0005904477948135233,0.00045214014875256676,0.0007004326717763716,0.0008050701364148732,0.0008219108944353086,0.009606660128513154,0.005672823808694037,0.014772633813671547,0.015881390587249078,0.015984366484090677,0.9881910441037295,0.9859913465644725,0.9909571970249487,1.0,0.02060934481685004,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,strong,0.01,20,1.0,1.0,1.0,0.000657989496970202,0.0005380318767642642,0.0007009722285241065,0.0007344798132280357,0.0007439599373891495,0.010978529280136786,0.005406353008865526,0.013893589318190803,0.016762550122271253,0.016831076318069873,0.9342010503029798,0.9299027771475894,0.9461968123235736,0.0004247143934841236,,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,strong,0.03,20,1.0,1.0,1.0,0.0006578723817331986,0.0005383291493129319,0.0007120792073250616,0.0007405404086182945,0.0007684947515303538,0.01095001641523876,0.005405636667964909,0.013760591724058645,0.016758978229510082,0.01675934850528976,0.9780709206088933,0.976264026422498,0.9820556950229022,0.00042471349592175414,,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,strong,0.05,20,1.0,1.0,1.0,0.0006534650276545071,0.0005365892802412792,0.0007122752797581045,0.0007452541896125003,0.0007685764685166536,0.010968200987390202,0.005400506682102058,0.013906390534316868,0.016865676664821836,0.017512553999134896,0.9869306994469098,0.985754494404838,0.9892682143951744,0.0004247122864928964,,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,weak,0.01,20,1.0,1.0,1.0,0.000658707406558115,0.0005284447405394213,0.0007102209422424468,0.00074047038938897,0.0007688444583366401,0.010981288944110185,0.005406596937698148,0.01383304045832114,0.01679787634940652,0.017544964855224648,0.9341292593441886,0.9289779057757552,0.9471555259460578,0.0004247157796717376,,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
Weak,pcl,weak,0.03,20,1.0,1.0,1.0,0.0006603519551335434,0.0005238434326697477,0.0007100872641204851,0.0007403849135812386,0.0007687029619440751,0.010969893850811742,0.0053417102952820605,0.013710835654522358,0.01679846134568051,0.01755994174801458,0.9779882681622152,0.9763304245293172,0.9825385522443417,0.0004247131190422541,,15899.0,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
