execution_index,run_id,scene_id,scene_class,snapshot_id,backend,direction_class,direction_source,direction_vector_x,direction_vector_y,direction_vector_z,perturbation_sign,perturbation_magnitude_m,perturbation_vector_x_m,perturbation_vector_y_m,perturbation_vector_z_m,Delta_T,T_star,T_initial
11,CP-R_TEST_01_Q01-W-50MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.05,-0.0496130366664925,0.005702113308247776,0.0024561141156663174,"[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]"
12,CP-R_TEST_01_Q01-W-50MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,weak,lambda_min,0.9922607333298499,-0.11404226616495552,-0.04912228231332634,-1,0.05,-0.0496130366664925,0.005702113308247776,0.0024561141156663174,"[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.0496130366664925],[0.0,1.0,0.0,0.005702113308247776],[0.0,0.0,1.0,0.0024561141156663174],[0.0,0.0,0.0,1.0]]"
13,CP-R_TEST_01_Q01-S-10MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.01,0.001126213747424707,0.00993160774305118,-0.00030791270398839755,"[[1.0,0.0,0.0,0.001126213747424707],[0.0,1.0,0.0,0.00993160774305118],[0.0,0.0,1.0,-0.00030791270398839755],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.001126213747424707],[0.0,1.0,0.0,0.00993160774305118],[0.0,0.0,1.0,-0.00030791270398839755],[0.0,0.0,0.0,1.0]]"
14,CP-R_TEST_01_Q01-S-10MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.01,0.001126213747424707,0.00993160774305118,-0.00030791270398839755,"[[1.0,0.0,0.0,0.001126213747424707],[0.0,1.0,0.0,0.00993160774305118],[0.0,0.0,1.0,-0.00030791270398839755],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.001126213747424707],[0.0,1.0,0.0,0.00993160774305118],[0.0,0.0,1.0,-0.00030791270398839755],[0.0,0.0,0.0,1.0]]"
15,CP-R_TEST_01_Q01-S-10MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.01,-0.001126213747424707,-0.00993160774305118,0.00030791270398839755,"[[1.0,0.0,0.0,-0.001126213747424707],[0.0,1.0,0.0,-0.00993160774305118],[0.0,0.0,1.0,0.00030791270398839755],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.001126213747424707],[0.0,1.0,0.0,-0.00993160774305118],[0.0,0.0,1.0,0.00030791270398839755],[0.0,0.0,0.0,1.0]]"
16,CP-R_TEST_01_Q01-S-10MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.01,-0.001126213747424707,-0.00993160774305118,0.00030791270398839755,"[[1.0,0.0,0.0,-0.001126213747424707],[0.0,1.0,0.0,-0.00993160774305118],[0.0,0.0,1.0,0.00030791270398839755],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.001126213747424707],[0.0,1.0,0.0,-0.00993160774305118],[0.0,0.0,1.0,0.00030791270398839755],[0.0,0.0,0.0,1.0]]"
17,CP-R_TEST_01_Q01-S-30MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.03,0.003378641242274121,0.029794823229153538,-0.0009237381119651927,"[[1.0,0.0,0.0,0.003378641242274121],[0.0,1.0,0.0,0.029794823229153538],[0.0,0.0,1.0,-0.0009237381119651927],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.003378641242274121],[0.0,1.0,0.0,0.029794823229153538],[0.0,0.0,1.0,-0.0009237381119651927],[0.0,0.0,0.0,1.0]]"
18,CP-R_TEST_01_Q01-S-30MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.03,0.003378641242274121,0.029794823229153538,-0.0009237381119651927,"[[1.0,0.0,0.0,0.003378641242274121],[0.0,1.0,0.0,0.029794823229153538],[0.0,0.0,1.0,-0.0009237381119651927],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.003378641242274121],[0.0,1.0,0.0,0.029794823229153538],[0.0,0.0,1.0,-0.0009237381119651927],[0.0,0.0,0.0,1.0]]"
19,CP-R_TEST_01_Q01-S-30MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.03,-0.003378641242274121,-0.029794823229153538,0.0009237381119651927,"[[1.0,0.0,0.0,-0.003378641242274121],[0.0,1.0,0.0,-0.029794823229153538],[0.0,0.0,1.0,0.0009237381119651927],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.003378641242274121],[0.0,1.0,0.0,-0.029794823229153538],[0.0,0.0,1.0,0.0009237381119651927],[0.0,0.0,0.0,1.0]]"
20,CP-R_TEST_01_Q01-S-30MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.03,-0.003378641242274121,-0.029794823229153538,0.0009237381119651927,"[[1.0,0.0,0.0,-0.003378641242274121],[0.0,1.0,0.0,-0.029794823229153538],[0.0,0.0,1.0,0.0009237381119651927],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.003378641242274121],[0.0,1.0,0.0,-0.029794823229153538],[0.0,0.0,1.0,0.0009237381119651927],[0.0,0.0,0.0,1.0]]"
21,CP-R_TEST_01_Q01-S-50MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.05,0.005631068737123535,0.0496580387152559,-0.0015395635199419878,"[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]"
22,CP-R_TEST_01_Q01-S-50MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,1,0.05,0.005631068737123535,0.0496580387152559,-0.0015395635199419878,"[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.005631068737123535],[0.0,1.0,0.0,0.0496580387152559],[0.0,0.0,1.0,-0.0015395635199419878],[0.0,0.0,0.0,1.0]]"
