backend,scene_id,scene_label,geometry_group,station_id,endpoint,station_median_deg,formal_summary_status,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,FMB1_W03,W03,Weak,S03,rotation_angle_deg,0.0075516359830064,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R01,R01,Rich,S01,rotation_angle_deg,0.0468408069773388,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R01,R01,Rich,S02,rotation_angle_deg,0.0110784129291881,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R01,R01,Rich,S03,rotation_angle_deg,0.00602921256638583,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R02,R02,Rich,S01,rotation_angle_deg,0.0071573043414957,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R02,R02,Rich,S02,rotation_angle_deg,0.00921561329924727,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R02,R02,Rich,S03,rotation_angle_deg,0.00683759552853082,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R03,R03,Rich,S01,rotation_angle_deg,0.00769215183616364,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R03,R03,Rich,S02,rotation_angle_deg,0.0142015732965298,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_R03,R03,Rich,S03,rotation_angle_deg,0.0257448875153064,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W01,W01,Weak,S01,rotation_angle_deg,0.0126067564314181,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W01,W01,Weak,S02,rotation_angle_deg,0.00803117825901555,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W01,W01,Weak,S03,rotation_angle_deg,0.00989182258675542,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W02,W02,Weak,S01,rotation_angle_deg,0.00517903569444179,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W02,W02,Weak,S02,rotation_angle_deg,0.00786594176580537,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W02,W02,Weak,S03,rotation_angle_deg,0.00838724576082137,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W03,W03,Weak,S01,rotation_angle_deg,0.00996206596380316,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W03,W03,Weak,S02,rotation_angle_deg,0.011253036924789,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
PCL_POINT_TO_PLANE,FMB1_W03,W03,Weak,S03,rotation_angle_deg,0.00750544414250427,FORMAL_STATION_SUMMARY_DEFINED_COMPLETE_10_OF_10,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_station_summaries.csv,703936e7c9cbff2103dd3fed41a09b0ab71c047a23498fbc5b7fad7ce7a490e3
