assigned_rich_scene_ids,assigned_weak_scene_ids,backend,endpoint,greater_than_or_equal_observed,observed_allocation,statistic,allocation_index,observed_statistic_deg,exact_one_sided_p,source_path,source_sha256
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132,11,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0020332667689071,12,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132,13,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0045552402396259,14,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.003238022117932,15,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0045552402396259,16,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0007160486472132,17,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0020332667689071,18,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0007160486472132,19,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",OPEN3D_POINT_TO_PLANE,rotation_angle_deg,True,True,-0.003238022117932,20,-0.00323802211793205,0.9,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0015704434534787,1,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.85476356726026e-05,2,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0023154113702949,3,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.85476356726026e-05,4,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.003837307188101,5,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0015704434534787,6,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.003837307188101,7,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.85476356726026e-05,8,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0023154113702949,9,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
