scene_id,scene_label,geometry_group,open3d_translation_zpru_mm,pcl_translation_zpru_mm,frozen_scene_spearman_rho,source_path,source_sha256
FMB1_R01,R01,Rich,0.545893126506504,0.514950034147303,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R02,R02,Rich,0.371612171039911,0.381132152794795,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_R03,R03,Rich,0.63265644328679,0.626118509972923,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W01,W01,Weak,0.475640605584782,0.461941019911616,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W02,W02,Weak,0.519545344748416,0.504034539600399,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
FMB1_W03,W03,Weak,0.657337102785455,0.68199058857914,1,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/cross_backend_scene_pairs.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,de56d6ed1fb1043558e1fe73ebd502b0c73fccb2abcc4f2b6c3370e6faf86ec8;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
