backend,denominator,finite_vector_n,mean_vector,planned_n,scene_id,station_id,status,systematic_fraction,scene_label,geometry_group,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,0.0005608144603097,10,"[-0.00040287360995366255, 8.855455366043733e-05, -0.00015262209129890552]",10,FMB1_W02,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.78425412075765,W02,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
OPEN3D_POINT_TO_PLANE,0.0007743747293227,10,"[4.391881484361749e-05, 3.98218128599577e-05, 0.00021189596832762048]",10,FMB1_W03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.284142851916205,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
OPEN3D_POINT_TO_PLANE,0.0005371477403436,10,"[-0.00011038654548778191, 0.00010516073313018812, 0.00018177402865241236]",10,FMB1_W03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.441677768621243,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
OPEN3D_POINT_TO_PLANE,0.0008050466055919,10,"[-1.0137751028480486e-05, -7.641524815748979e-05, 0.0002877786293925159]",10,FMB1_W03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.370070279006122,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0009411262911573,10,"[0.0003233609786548186, 0.0004887181465164758, 0.0005246344968327321]",10,FMB1_R01,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.835745964728493,R01,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0004858013571552,10,"[-0.00033749690192053095, -0.00013863257790944772, -0.0001144286570706754]",10,FMB1_R01,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.787118847753968,R01,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0004461912675657,10,"[0.00024551910610171035, -9.553691415931099e-06, -0.00019385758041607916]",10,FMB1_R01,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.701430824344579,R01,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0003407742502215,10,"[-3.326949554320891e-05, 6.75348379445495e-05, 3.2145741715794426e-05]",10,FMB1_R02,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.240219522823909,R02,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0005508429129253,10,"[3.0825223802821712e-06, -7.074952736729756e-06, 0.00041188017712556757]",10,FMB1_R02,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.747858345698157,R02,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0002659048173174,10,"[0.00010585143536445685, -3.22131593748054e-05, -3.5660969297168775e-05]",10,FMB1_R02,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.437184188067572,R02,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0004748117336265,10,"[-0.00019016721189473172, -0.0001223980259055679, -0.00011964026125497185]",10,FMB1_R03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.538842741900642,R03,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0006413081796787,10,"[-0.00025895261169353037, -8.192643235815922e-07, -0.0003301014559838222]",10,FMB1_R03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.654213171931304,R03,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0007022926857022,10,"[-0.0005308205261826515, -7.507024492952042e-05, 3.126830397377489e-05]",10,FMB1_R03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.764657925170821,R03,Rich,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0005127851601957,10,"[0.00042531617800705134, -0.00013197432526794727, 9.141537557297852e-05]",10,FMB1_W01,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.886545453167807,W01,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0004171781675384,10,"[8.543741605535616e-05, -3.367846534274577e-05, 1.9771329243667422e-05]",10,FMB1_W01,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.22517922397508,W01,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0005645102596125,10,"[-0.0001409518918080721, -9.323221165686846e-05, 3.4287646212760595e-05]",10,FMB1_W01,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.305467138423958,W01,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0003916689722959,10,"[0.00023177574439614546, -3.364934784713114e-05, -5.3134251038500226e-05]",10,FMB1_W02,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.613163934069626,W02,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0006814834209037,10,"[0.0003808166628004983, 2.019385719904676e-05, 0.00016570585648878478]",10,FMB1_W02,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.610135886084738,W02,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0005808809986873,10,"[-0.00042822362956940196, 8.953698736604565e-05, -0.00015038099445519038]",10,FMB1_W02,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.796391486197374,W02,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0008107304047057,10,"[0.00011911582987522706, 3.97144884118461e-05, 0.00021393855786300264]",10,FMB1_W03,S01,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.305975395825252,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.00052699825354,10,"[-0.00013762366370428936, 8.974749725894071e-05, 0.00017152586733573116]",10,FMB1_W03,S02,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.450704614837305,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
PCL_POINT_TO_PLANE,0.0007919078414232,10,"[-3.5228558408562095e-05, -7.511094495384895e-05, 0.00026681198323785793]",10,FMB1_W03,S03,SYSTEMATIC_FRACTION_DEFINED_COMPLETE_10_VECTORS,0.352834604939529,W03,Weak,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/systematic_station_values.csv,474ac676c84f7408e5eaa43ae07e9bbc55cc9541726dc858cbe49d1d6c89db0f
