scene_id,station_id,attempt,role,raw_filename,raw_absolute_path,canonical_filename,capture_prefix,sha256,bytes,start_timestamp,end_timestamp
FMB1_W01,S01,1,MAP,mid360_20260819_212448_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_212448_part1_20s.bag,FMB1_W01_S01_MAP_20260819_212448.bag,20260819_212448,958991403cef064ac03b9959c6c015710e43171e57223d3891b2b0f05aea306d,65554960,1787145889.5416458,1787145909.2901475
FMB1_W01,S01,1,QUERY,mid360_20260819_212448_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_212448_part2_15s.bag,FMB1_W01_S01_QUERY_20260819_212448.bag,20260819_212448,96a5f068f5b41c87ececdac8555a16bcb5ddeccb879ce3931b0f1698881d47b8,48664172,1787145920.6088147,1787145935.335008
FMB1_W01,S02,1,MAP,mid360_20260819_212824_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_212824_part1_20s.bag,FMB1_W01_S02_MAP_20260819_212824.bag,20260819_212824,af0aa5263709f1a9bb2826221993d913c94bf21ec5b0c32614d9938496346ae1,66487291,1787146105.459202,1787146125.2154944
FMB1_W01,S02,1,QUERY,mid360_20260819_212824_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_212824_part2_15s.bag,FMB1_W01_S02_QUERY_20260819_212824.bag,20260819_212824,6c4ac9f69445d956d27ec9cc0b1f01aa14d2dee3c919000807d20c5cfdb14e01,49350862,1787146136.4117372,1787146151.1762924
FMB1_W01,S03,1,MAP,mid360_20260819_213035_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_213035_part1_20s.bag,FMB1_W01_S03_MAP_20260819_213035.bag,20260819_213035,fff670e283221e6bda4f1fff2fa1abe01d7599795179bc79a0b6a01bde59252f,63297586,1787146236.810635,1787146256.5447578
FMB1_W01,S03,1,QUERY,mid360_20260819_213035_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_213035_part2_15s.bag,FMB1_W01_S03_QUERY_20260819_213035.bag,20260819_213035,6c63c4356ca3f172467f917aea7740b331b26a26b285419cec432d8ce80aea1d,47590748,1787146267.7809377,1787146282.535418
FMB1_W02,S01,2,MAP,mid360_20260820_081749_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260820_081749_part1_20s.bag,FMB1_W02_S01_MAP_20260820_081749.bag,20260820_081749,fe31a72dba708601ea6b667624063343612811b0867c40e399ef8d2c9ece067c,63171163,1787185070.3674874,1787185090.1336646
FMB1_W02,S01,2,QUERY,mid360_20260820_081749_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260820_081749_part2_15s.bag,FMB1_W02_S01_QUERY_20260820_081749.bag,20260820_081749,75ea84ca9265dd8e584b2ffc6eedc029b6c80d946ccc10bc7baa340d6d726dec,46901668,1787185101.4348075,1787185116.153374
FMB1_W02,S02,2,MAP,mid360_20260820_081954_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260820_081954_part1_20s.bag,FMB1_W02_S02_MAP_20260820_081954.bag,20260820_081954,686e48448ce46bdc5ca2bec5d611b22410d61007ff2203dda0e404347f9c907a,64457185,1787185195.0579796,1787185214.8451402
FMB1_W02,S02,2,QUERY,mid360_20260820_081954_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260820_081954_part2_15s.bag,FMB1_W02_S02_QUERY_20260820_081954.bag,20260820_081954,94d65b3cdc2838f78e8f941b434380ca187255fb13dee738705367d81a838c51,48174949,1787185226.0300462,1787185240.8332534
FMB1_W02,S03,2,MAP,mid360_20260820_082207_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260820_082207_part1_20s.bag,FMB1_W02_S03_MAP_20260820_082207.bag,20260820_082207,46e76fbad2c7503d6629060ec1e19c77754542a236120090e3e705a37942e017,63966158,1787185328.673032,1787185348.4076066
FMB1_W02,S03,2,QUERY,mid360_20260820_082207_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260820_082207_part2_15s.bag,FMB1_W02_S03_QUERY_20260820_082207.bag,20260820_082207,62636e25f4a6c453762de1b677c2ce0687ad51e3f57933b07b02a5be3f3f6d29,47820945,1787185359.7435298,1787185374.489933
FMB1_W03,S01,1,MAP,mid360_20260819_214807_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_214807_part1_20s.bag,FMB1_W03_S01_MAP_20260819_214807.bag,20260819_214807,4be1bf6c6261ad0dad77ee69f2a4dc8136cf0717bd5a72ea087a0c2bb61bba02,61165252,1787147288.348544,1787147308.0767634
FMB1_W03,S01,1,QUERY,mid360_20260819_214807_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_214807_part2_15s.bag,FMB1_W03_S01_QUERY_20260819_214807.bag,20260819_214807,0af276ea57bcfd33e043a04731e9b5446250f2d9ea3dd4ce5652454a0b9d7767,45948128,1787147319.5084877,1787147334.2478685
FMB1_W03,S02,1,MAP,mid360_20260819_214952_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_214952_part1_20s.bag,FMB1_W03_S02_MAP_20260819_214952.bag,20260819_214952,0b962474901bffa51ea28fbb2d17b3c0394b7c0db9c62eee6e19a0a35b63495f,62253951,1787147392.891269,1787147412.666937
FMB1_W03,S02,1,QUERY,mid360_20260819_214952_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_214952_part2_15s.bag,FMB1_W03_S02_QUERY_20260819_214952.bag,20260819_214952,f8df11e302ad279e32e2a0b20e296e6c156486fc9aff4adc0dc4d7a8b2a185f6,46228553,1787147423.9616957,1787147438.7078388
FMB1_W03,S03,1,MAP,mid360_20260819_215146_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_215146_part1_20s.bag,FMB1_W03_S03_MAP_20260819_215146.bag,20260819_215146,83881f5aade036c2813d67a269112a9016041dcbe34dc76fa18b0dfbe4b128d7,61463177,1787147507.497694,1787147527.2617495
FMB1_W03,S03,1,QUERY,mid360_20260819_215146_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_215146_part2_15s.bag,FMB1_W03_S03_QUERY_20260819_215146.bag,20260819_215146,9141c6b3a8a43134cf298d4a22a8a7878d0a323cb860f7157599869617ec84f7,45959090,1787147538.5562744,1787147553.3069887
