scene_id,semantic_scene,scene_type,role,bag_path,bag_sha256,message_type,frame_ids,point_fields,frame_index,timestamp,bag_timestamp,inter_frame_interval_seconds,point_count,finite_point_count,nonfinite_point_count,x_min,x_max,y_min,y_max,z_min,z_max,range_min,range_median,range_q95,range_max,point_timestamp_field,point_timestamp_unit_inference,point_timestamp_raw_min,point_timestamp_raw_max,point_timestamp_span_seconds,point_timestamp_nondecreasing,point_timestamp_usable,frame_rate_anomaly,point_count_drop,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",17,1787056354.5433064,1787056354.6448529,0.099945068359375,20064,20064,0,-16.413000106811523,31.691999435424805,-12.817000389099121,17.187999725341797,-1.4830000400543213,6.931000232696533,0.0,3.021680090071248,7.823589035012612,33.69923905024085,timestamp,nanoseconds_absolute,1.7870563545433062e+18,1.7870563546435366e+18,0.10023040000000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",18,1787056354.6439404,1787056354.7450972,0.10063409805297852,19968,19968,0,-16.343000411987305,31.54199981689453,-15.043999671936035,15.317000389099121,-1.843999981880188,6.422999858856201,0.0,3.0101059475385687,8.527769464804537,33.479100767436044,timestamp,nanoseconds_absolute,1.7870563546439404e+18,1.7870563547436754e+18,0.09973504000000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",19,1787056354.7438433,1787056354.8443713,0.09990286827087402,19968,19968,0,-16.277999877929688,20.232999801635742,-12.123000144958496,15.168000221252441,-1.531999945640564,6.885000228881836,0.0,3.0157472238008776,8.615259375598033,24.36724865369053,timestamp,nanoseconds_absolute,1.7870563547438433e+18,1.7870563548435292e+18,0.099685888,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",20,1787056354.8432813,1787056354.9444811,0.09943795204162598,19968,19968,0,-16.35700035095215,21.621000289916992,-15.092000007629395,17.408000946044922,-1.8329999446868896,7.546000003814697,0.0,3.012269581156358,7.778216201178719,26.58564860735287,timestamp,nanoseconds_absolute,1.7870563548432812e+18,1.7870563549435638e+18,0.100282624,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",21,1787056354.9432492,1787056355.0446148,0.09996795654296875,20064,20064,0,-12.880999565124512,20.486000061035156,-14.854999542236328,15.064000129699707,-1.534000039100647,7.084000110626221,0.0,3.000632855692751,7.899892339515269,23.47258350692426,timestamp,nanoseconds_absolute,1.7870563549432492e+18,1.7870563550434952e+18,0.10024601600000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",22,1787056355.0438464,1787056355.1449835,0.10059714317321777,19968,19968,0,-16.493999481201172,21.81800079345703,-14.267999649047852,17.375,-1.9220000505447388,7.546999931335449,0.0,3.001542504151097,8.601637111824491,26.65071030635291,timestamp,nanoseconds_absolute,1.7870563550438464e+18,1.787056355143473e+18,0.09962649600000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",23,1787056355.144227,1787056355.244449,0.10038065910339355,19968,19968,0,-16.27400016784668,20.996000289916992,-14.98900032043457,17.05299949645996,-1.7280000448226929,6.327000141143799,0.0,3.0199106676608034,8.238757283665096,24.872460665505717,timestamp,nanoseconds_absolute,1.787056355144227e+18,1.787056355243398e+18,0.09917081600000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",24,1787056355.2431543,1787056355.3442461,0.09892725944519043,19968,19968,0,-12.909000396728516,31.482999801635742,-15.166000366210938,21.451000213623047,-1.4529999494552612,7.116000175476074,0.0,3.0206886221258564,8.247685903391751,33.494710387308736,timestamp,nanoseconds_absolute,1.7870563552431542e+18,1.7870563553434708e+18,0.10031667200000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",25,1787056355.343089,1787056355.4448063,0.09993481636047363,20064,20064,0,-16.283000946044922,21.886999130249023,-13.496999740600586,15.347999572753906,-1.8489999771118164,6.171999931335449,0.0,3.00168924760114,8.365341735829947,25.821837921479833,timestamp,nanoseconds_absolute,1.7870563553430892e+18,1.7870563554435162e+18,0.10042700800000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",26,1787056355.4432657,1787056355.544835,0.10017657279968262,19968,19968,0,-16.253000259399414,20.722999572753906,-15.432000160217285,17.399999618530273,-1.5089999437332153,7.563000202178955,0.0,3.000823087460758,8.330940229423897,26.965977273037566,timestamp,nanoseconds_absolute,1.7870563554432658e+18,1.7870563555434045e+18,0.10013875200000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",27,1787056355.5431802,1787056355.6448746,0.09991455078125,20064,20064,0,-16.260000228881836,31.284000396728516,-14.842000007629395,17.545000076293945,-1.6640000343322754,7.568999767303467,0.0,3.0249073996193965,7.940079307827968,33.309964950331455,timestamp,nanoseconds_absolute,1.7870563555431803e+18,1.787056355643543e+18,0.100362752,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",28,1787056355.6432948,1787056355.7450135,0.10011458396911621,19968,19968,0,-12.876999855041504,20.788999557495117,-12.621999740600586,16.219999313354492,-1.5210000276565552,7.142000198364258,0.0,3.0182371355480972,8.250042752680086,26.538439722343696,timestamp,nanoseconds_absolute,1.7870563556432947e+18,1.787056355743511e+18,0.10021632000000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",29,1787056355.743256,1787056355.8452063,0.0999612808227539,20064,20064,0,-16.420000076293945,21.05500030517578,-12.70199966430664,22.490999221801758,-1.621000051498413,7.366000175476074,0.0,3.0215356312829362,8.73985777781966,28.13645489062888,timestamp,nanoseconds_absolute,1.787056355743256e+18,1.7870563558435666e+18,0.10031052800000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",30,1787056355.8439553,1787056355.9447587,0.10069918632507324,19968,19968,0,-16.218000411987305,19.56399917602539,-11.359999656677246,17.39699935913086,-1.600000023841858,7.664999961853027,0.0,3.00504947267613,7.959511963373522,26.660106742967148,timestamp,nanoseconds_absolute,1.7870563558439552e+18,1.7870563559434962e+18,0.09954099200000001,false,true,false,false,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,QUERY,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,sensor_msgs/PointCloud2,"[""livox_frame""]","[""x"",""y"",""z"",""intensity"",""tag"",""line"",""timestamp""]",31,1787056355.9438586,1787056356.044634,0.09990334510803223,19968,19968,0,-16.256999969482422,22.042999267578125,-12.053000450134277,15.482000350952148,-1.6330000162124634,7.14300012588501,0.0,3.0101671238614207,8.032277450322589,24.46106646191316,timestamp,nanoseconds_absolute,1.7870563559438587e+18,1.7870563560434427e+18,0.099584,false,true,false,false,true,true,true,false,false,true,true,false,false
