execution_index,trial_id,scene_id,snapshot_id,backend,started_at_utc,completed_at_utc,solver_success,finite_result,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
22,R_TEST_01_Q02::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q02,pcl_point_to_plane,2026-08-18T14:00:07.155939+00:00,2026-08-18T14:00:08.262349+00:00,true,true,true,true,true,false,false,true,true,false,false
23,R_TEST_01_Q03::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q03,pcl_point_to_plane,2026-08-18T14:00:08.262366+00:00,2026-08-18T14:00:09.358043+00:00,true,true,true,true,true,false,false,true,true,false,false
24,R_TEST_01_Q04::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q04,pcl_point_to_plane,2026-08-18T14:00:09.358060+00:00,2026-08-18T14:00:10.435481+00:00,true,true,true,true,true,false,false,true,true,false,false
25,R_TEST_01_Q05::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q05,pcl_point_to_plane,2026-08-18T14:00:10.435499+00:00,2026-08-18T14:00:11.517165+00:00,true,true,true,true,true,false,false,true,true,false,false
26,R_TEST_01_Q06::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q06,pcl_point_to_plane,2026-08-18T14:00:11.517183+00:00,2026-08-18T14:00:12.645898+00:00,true,true,true,true,true,false,false,true,true,false,false
27,R_TEST_01_Q07::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q07,pcl_point_to_plane,2026-08-18T14:00:12.645916+00:00,2026-08-18T14:00:13.743273+00:00,true,true,true,true,true,false,false,true,true,false,false
28,R_TEST_01_Q08::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q08,pcl_point_to_plane,2026-08-18T14:00:13.743290+00:00,2026-08-18T14:00:14.829189+00:00,true,true,true,true,true,false,false,true,true,false,false
29,R_TEST_01_Q09::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q09,pcl_point_to_plane,2026-08-18T14:00:14.829207+00:00,2026-08-18T14:00:15.903279+00:00,true,true,true,true,true,false,false,true,true,false,false
30,R_TEST_01_Q10::pcl_point_to_plane,R_TEST_01,R_TEST_01_Q10,pcl_point_to_plane,2026-08-18T14:00:15.903297+00:00,2026-08-18T14:00:16.971059+00:00,true,true,true,true,true,false,false,true,true,false,false
31,W_TEST_01_Q01::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q01,pcl_point_to_plane,2026-08-18T14:00:16.971078+00:00,2026-08-18T14:00:18.191623+00:00,true,true,true,true,true,false,false,true,true,false,false
32,W_TEST_01_Q02::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q02,pcl_point_to_plane,2026-08-18T14:00:18.191641+00:00,2026-08-18T14:00:19.416223+00:00,true,true,true,true,true,false,false,true,true,false,false
33,W_TEST_01_Q03::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q03,pcl_point_to_plane,2026-08-18T14:00:19.416240+00:00,2026-08-18T14:00:20.545345+00:00,true,true,true,true,true,false,false,true,true,false,false
34,W_TEST_01_Q04::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q04,pcl_point_to_plane,2026-08-18T14:00:20.545362+00:00,2026-08-18T14:00:21.787632+00:00,true,true,true,true,true,false,false,true,true,false,false
35,W_TEST_01_Q05::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q05,pcl_point_to_plane,2026-08-18T14:00:21.787651+00:00,2026-08-18T14:00:22.994978+00:00,true,true,true,true,true,false,false,true,true,false,false
36,W_TEST_01_Q06::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q06,pcl_point_to_plane,2026-08-18T14:00:22.994996+00:00,2026-08-18T14:00:24.216845+00:00,true,true,true,true,true,false,false,true,true,false,false
37,W_TEST_01_Q07::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q07,pcl_point_to_plane,2026-08-18T14:00:24.216868+00:00,2026-08-18T14:00:25.403413+00:00,true,true,true,true,true,false,false,true,true,false,false
38,W_TEST_01_Q08::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q08,pcl_point_to_plane,2026-08-18T14:00:25.403433+00:00,2026-08-18T14:00:26.624714+00:00,true,true,true,true,true,false,false,true,true,false,false
39,W_TEST_01_Q09::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q09,pcl_point_to_plane,2026-08-18T14:00:26.624731+00:00,2026-08-18T14:00:27.858543+00:00,true,true,true,true,true,false,false,true,true,false,false
40,W_TEST_01_Q10::pcl_point_to_plane,W_TEST_01,W_TEST_01_Q10,pcl_point_to_plane,2026-08-18T14:00:27.858566+00:00,2026-08-18T14:00:29.059119+00:00,true,true,true,true,true,false,false,true,true,false,false
