scene_id,semantic_scene,scene_type,snapshot_id,query_timestamp,backend,common_association_valid,common_association_invalid_reason,common_association_is_backend_internal,association_distance_limit_m,target_normal_pca_k,target_normal_pca_min_neighbors,initial_correspondence_count,initial_valid_normal_correspondence_count,target_normal_valid_count,target_normal_invalid_count,initial_residual_rmse,initial_residual_median,initial_residual_q95,lambda_min_trans,lambda_mid_trans,lambda_max_trans,normalized_lambda_min_trans,normalized_lambda_mid_trans,normalized_lambda_max_trans,condition_number_trans,spectral_entropy_trans,initial_translation_gradient_norm,final_correspondence_count,final_valid_normal_correspondence_count,common_valid_normal_source_count,correspondence_turnover,accepted_source_turnover,correspondence_count_change_ratio,final_residual_rmse,final_residual_median,final_residual_q95,residual_rmse_change,median_normal_angle_change_deg,q95_normal_angle_change_deg,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,1787056353.543167,open3d_point_to_plane,true,,false,0.5,50,10,15376,15376,136443,0,0.00727958370740573,0.0037959972246494316,0.014637244920213857,0.2536293412739258,0.30027579079570843,0.4460948679303659,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,9.438771219761706e-05,15376,15376,15376,0.04798781261901741,0.0,0.0,0.007305541155183781,0.003809935939236767,0.014646494339196264,2.5957447778050813e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,1787056353.543167,pcl_point_to_plane,true,,false,0.5,50,10,15376,15376,136443,0,0.00727958370740573,0.0037959972246494316,0.014637244920213857,0.2536293412739258,0.30027579079570843,0.4460948679303659,0.2536293412739258,0.30027579079570843,0.4460948679303659,1.758845667026248,0.9733148533997634,9.438771219761706e-05,15376,15376,15376,0.036772216547497405,0.0,0.0,0.007293545478140458,0.0037990114551256773,0.014655862938645011,1.396177073472761e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,1787056355.0438464,open3d_point_to_plane,true,,false,0.5,50,10,15372,15372,136443,0,0.007317205713659108,0.00382922532548945,0.014529498504665384,0.25529579402819513,0.2944313204890375,0.45027288548276734,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,0.00010693702643706011,15372,15372,15372,0.03615458320025555,0.0,0.0,0.007292781141156401,0.0038211430317657,0.014364592817584385,-2.442457250270702e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,1787056355.0438464,pcl_point_to_plane,true,,false,0.5,50,10,15372,15372,136443,0,0.007317205713659108,0.00382922532548945,0.014529498504665384,0.25529579402819513,0.2944313204890375,0.45027288548276734,0.25529579402819513,0.2944313204890375,0.45027288548276734,1.763730135847983,0.9719907647526036,0.00010693702643706011,15372,15372,15372,0.05084638305965894,0.0,0.0,0.007292718471442554,0.0038214045708935794,0.014414470008267427,-2.4487242216553358e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,1787056356.5430822,open3d_point_to_plane,true,,false,0.5,50,10,15372,15372,136443,0,0.007099992261036051,0.0038160453364199983,0.014147413264427545,0.2535039833280639,0.29374453334645284,0.45275148332548354,0.25350398332806384,0.2937445333464528,0.45275148332548343,1.7859738430207228,0.9707870686256072,9.317135460908962e-05,15372,15372,15372,0.03452243958573076,0.0,0.0,0.007081004921582448,0.0038203712192976555,0.014119620432721193,-1.898733945360307e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,1787056356.5430822,pcl_point_to_plane,true,,false,0.5,50,10,15372,15372,136443,0,0.007099992261036051,0.0038160453364199983,0.014147413264427545,0.2535039833280639,0.29374453334645284,0.45275148332548354,0.25350398332806384,0.2937445333464528,0.45275148332548343,1.7859738430207228,0.9707870686256072,9.317135460908962e-05,15372,15372,15372,0.06337007874015743,0.0,0.0,0.0071336172184155566,0.003849598751267776,0.014207771242320703,3.362495737950586e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,1787056357.9431353,open3d_point_to_plane,true,,false,0.5,50,10,15260,15260,136443,0,0.007126481020241445,0.00382746683840972,0.014143749630825665,0.2549266309248976,0.28706112019731295,0.4580122488777896,0.2549266309248976,0.28706112019731295,0.4580122488777896,1.7966433997738032,0.9688050897573318,7.028367354240385e-05,15260,15260,15260,0.03818216879861158,0.0,0.0,0.00708912594615348,0.003789647345345328,0.014052580896050366,-3.735507408796513e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,1787056357.9431353,pcl_point_to_plane,true,,false,0.5,50,10,15260,15260,136443,0,0.007126481020241445,0.00382746683840972,0.014143749630825665,0.2549266309248976,0.28706112019731295,0.4580122488777896,0.2549266309248976,0.28706112019731295,0.4580122488777896,1.7966433997738032,0.9688050897573318,7.028367354240385e-05,15260,15260,15260,0.043840533264966064,0.0,0.0,0.00712141223471271,0.0037902479009614557,0.014068520557378393,-5.068785528735374e-06,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,1787056359.4431496,open3d_point_to_plane,true,,false,0.5,50,10,15366,15366,136443,0,0.0072918106527752715,0.0037570418018566757,0.014342043675205118,0.2412841460487334,0.3008017352156844,0.45791411873558235,0.24128414604873336,0.3008017352156843,0.45791411873558224,1.8978209975018212,0.9667395231485169,0.00011143538434373561,15366,15366,15366,0.04528685917822162,0.0,0.0,0.007282692478856724,0.003745217900117557,0.014315948090974766,-9.118173918547766e-06,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,1787056359.4431496,pcl_point_to_plane,true,,false,0.5,50,10,15366,15366,136443,0,0.0072918106527752715,0.0037570418018566757,0.014342043675205118,0.2412841460487334,0.3008017352156844,0.45791411873558235,0.24128414604873336,0.3008017352156843,0.45791411873558224,1.8978209975018212,0.9667395231485169,0.00011143538434373561,15366,15366,15366,0.04516252146809996,0.0,0.0,0.00727407848749017,0.0037400887075560753,0.014271200992911218,-1.7732165285101048e-05,0.0,8.537736462515939e-07,true,true,true,false,false,true,true,false,false
