scene_id,semantic_scene,scene_type,snapshot_id,query_frame_index,query_timestamp,query_bag_path,query_bag_sha256,source_path,source_point_count,source_npy_sha256,source_array_sha256,target_path,target_point_count,target_npy_sha256,target_array_sha256,dtype,little_endian_float64,c_contiguous,finite,deterministic_point_ordering,T0,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,7,1787056353.543167,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q01/source_points.npy,15377,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,22,1787056355.0438464,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q02/source_points.npy,15372,58d3d3263669758becf1d84c2ddcd407eadff022434e3c2a2f7e887e4d9b0a81,e233190c9450f497a5343feaf2b90fd5a0928e0593f04b7361ff175e65104eb7,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,37,1787056356.5430822,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q03/source_points.npy,15372,6bb6e40b1252f6a44aad71bb316e7cc3b2020164cc2d7522e24cd2d014446801,8950f5b17ff80e6952baf368df81921325fd897ed735daac6cf06bbd28a5866d,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,51,1787056357.9431353,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q04/source_points.npy,15260,f152478ee07afab66a780213d3435457b88937567ff7e175e5eeb652005e9017,fd1dca82d562ebf21b66f4c256d42251cacbb66869e40c362b3718809022dfd6,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,66,1787056359.4431496,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q05/source_points.npy,15366,f76a227b96a4308a80e63e2b307e86ea59528878de9d8f3cce8e7a8d3c85c11a,d057bff7bce05877a9331e60ea3f7b42739153e8e2bf644ef07e1dba7e9961d4,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q06,81,1787056360.9431803,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q06/source_points.npy,15395,325ec45c672bb2f7b4a1d1899adf5e972f3bc953cf67f30a32b97eac195e2e29,f6bb3f5ba310894a2220cdb08ffb37fa9be44b45ddaa2535c2d86dad4d2cae5f,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q07,96,1787056362.4431906,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q07/source_points.npy,15462,07038ada9ddf64fd44d76275c17e97e82d03fd9ed8e0479a5e4c994d8666f5e6,87949f4088bbdefa97bb936b77bcfab6cedaa6cabbf58c71acd942a6f218600f,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q08,110,1787056363.843278,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q08/source_points.npy,15235,9c9ab65dbce7264c1f140da964ef0c5ebf5568a466b19f1b65959c3c6e7523a5,166887b391976f4a37885b9491218358406cd935f2890ebe58c6e56d7a961a8a,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q09,125,1787056365.3432193,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q09/source_points.npy,15400,8e6be665ef019801e2634c8a788b22fdc0c47b0deaf412a1555eb73f87835c71,f77f42fffa1419b7b30cb675a70e857c5871b516deb675c53fc7509cc98d580c,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q10,140,1787056366.8432264,/home/lj/ZPRM/bag/mid360_20260818_203200_part2_15s.bag,3a96dba7563f9742e8fabe5cbc7a90d77991e1d6d25dc024c1c36073af116e73,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/canonical_sources/R_TEST_01_Q10/source_points.npy,15312,8dfeca0a569fb425aecf985f57632b7777e3ec76a28877e45b81ddb53f49fc53,bc19f8fef46dd2e661b12e076b2b3432c34dd5f40c1f41eae4c86e14513d7b71,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,136443,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,<f8,true,true,true,true,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,true,true,false,false,true,true,false,false
