scene_id,semantic_scene,scene_type,snapshot_id,query_frame_index,query_timestamp,T0,initial_correspondence_count,initial_valid_normal_correspondence_count,lambda_min_trans,lambda_mid_trans,lambda_max_trans,normalized_lambda_min_trans,normalized_lambda_mid_trans,normalized_lambda_max_trans,condition_number_trans,spectral_entropy_trans,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,7,1787056353.543167,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15376,15376,0.2536293412739258,0.3002757907957085,0.44609486793036585,0.2536293412739258,0.3002757907957085,0.44609486793036585,1.7588456670262478,0.9733148533997634,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,22,1787056355.0438464,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15372,15372,0.25529579402819513,0.29443132048903753,0.45027288548276734,0.25529579402819513,0.29443132048903753,0.45027288548276734,1.763730135847983,0.9719907647526036,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,37,1787056356.5430822,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15372,15372,0.2535039833280639,0.29374453334645273,0.4527514833254836,0.25350398332806384,0.2937445333464527,0.4527514833254835,1.785973843020723,0.9707870686256072,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,51,1787056357.9431353,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15260,15260,0.2549266309248976,0.28706112019731295,0.4580122488777892,0.25492663092489765,0.287061120197313,0.4580122488777893,1.7966433997738016,0.9688050897573319,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,66,1787056359.4431496,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15366,15366,0.2412841460487334,0.3008017352156844,0.45791411873558235,0.24128414604873336,0.3008017352156843,0.45791411873558224,1.8978209975018212,0.9667395231485169,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q06,81,1787056360.9431803,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15395,15395,0.24720409335928786,0.299041183258371,0.45375472338234163,0.24720409335928775,0.29904118325837087,0.4537547233823414,1.8355469653281666,0.9694310675734957,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q07,96,1787056362.4431906,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15462,15462,0.2540379703407097,0.2884600583719758,0.45750197128731473,0.25403797034070963,0.28846005837197575,0.4575019712873146,1.8009196447039943,0.9689212932419501,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q08,110,1787056363.843278,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15235,15235,0.2534423885105561,0.2893099329669421,0.45724767852250225,0.253442388510556,0.28930993296694196,0.45724767852250203,1.8041483952612665,0.9689573238197114,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q09,125,1787056365.3432193,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15400,15400,0.2540259353290542,0.29287463356555116,0.4530994311053947,0.2540259353290542,0.29287463356555116,0.4530994311053947,1.7836739013221987,0.9707182600269106,true,true,true,false,false,true,true,false,false
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q10,140,1787056366.8432264,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",15311,15311,0.25657072726672686,0.29075264963992514,0.4526766230933477,0.2565707272667269,0.2907526496399252,0.45267662309334783,1.7643346453266755,0.9711970793988067,true,true,true,false,false,true,true,false,false
