scene_id,semantic_scene,scene_type,map_bag_path,map_bag_sha256,map_frame_count,raw_point_count,filtered_point_count,voxelized_point_count,target_path,target_npy_sha256,target_array_sha256,target_registration_called,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
R_TEST_01,LABORATORY,RICH_CANDIDATE,/home/lj/ZPRM/bag/mid360_20260818_203200_part1_20s.bag,ec998bc44cd7f6276548cbf7c11cffdfcb7a5a5601335cf2fdddd3c8da998c13,199,3979968,3056279,136443,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/R_TEST_01/target_points.npy,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,false,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,/home/lj/ZPRM/bag/mid360_20260818_205021_part1_20s.bag,d20b50bd4be04229d311717a27021502a74429fa3a143418b18ad70622eb4a6d,198,3958944,3157008,158862,/home/lj/zero_perturbation_runtime/real_data/mid360_two_scene_pilot_v1/target_maps/W_TEST_01/target_points.npy,d4438aba190de47a85fb6188ddc3b39dbfd6e39d3fdb5fa264bf425912e6c02e,e94c88ddc68916220d35f10c3da8fbaa53e6de526a6a0afc3a91899d5ce7a66a,false,true,true,true,false,false,true,true,false,false
