scene_id,semantic_scene,scene_type,snapshot_id,trial_id,query_id,query_timestamp,backend,source_sha256,source_array_sha256,target_sha256,target_array_sha256,source_point_count,target_point_count,T0,PILOT_ONLY,FORMAL_REAL_DATA,INDEPENDENT_MAP_QUERY_ACQUISITION,MEASUREMENT_EVIDENCE,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,SAME_BAG_MAP_QUERY,INDEPENDENT_ACQUISITION,T_est,Delta_T,translation_x_m,translation_y_m,translation_z_m,translation_norm_m,rotation_angle_rad,rotation_angle_deg,rotation_matrix_quality_pass,rotation_determinant,rotation_orthogonality_defect_fro,solver_success,finite_result,iteration_count,correspondence_count,fitness,inlier_rmse,open3d_version,failure_reason,MID360_TWO_SCENE_PILOT
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q01,R_TEST_01_Q01::open3d_point_to_plane,R_TEST_01_Q01,1787056353.543167,open3d_point_to_plane,ea0425eba9828b4b7d20ec7d70c03629aad052b37129bd2f2eb66c741404be7f,613bb78470decf3b64194fab7c3579af1a98be115a387dedc0cda1b44ad2444e,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15377,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999622911205,1.002496602887662e-05,-0.0002744398982597055,0.0003651956733306511],[-1.0056099478055306e-05,0.9999999935148424,-0.00011344245200989577,-4.286850303612611e-06],[0.00027443875922319197,0.00011344520752702566,0.9999999559067753,0.0005148927546063969],[0.0,0.0,0.0,1.0]]","[[0.9999999622911205,1.002496602887662e-05,-0.0002744398982597055,0.0003651956733306511],[-1.0056099478055306e-05,0.9999999935148424,-0.00011344245200989577,-4.286850303612611e-06],[0.00027443875922319197,0.00011344520752702566,0.9999999559067753,0.0005148927546063969],[0.0,0.0,0.0,1.0]]",0.0003651956733306511,-4.286850303612611e-06,0.0005148927546063969,0.0006312692022038747,0.0002971317259547133,0.017024393856642853,true,1.0,3.8459254544150966e-16,true,true,-1,15376,0.9999349678090654,0.019890644140267522,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q02,R_TEST_01_Q02::open3d_point_to_plane,R_TEST_01_Q02,1787056355.0438464,open3d_point_to_plane,58d3d3263669758becf1d84c2ddcd407eadff022434e3c2a2f7e887e4d9b0a81,e233190c9450f497a5343feaf2b90fd5a0928e0593f04b7361ff175e65104eb7,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15372,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999936811094,-6.947262749841052e-05,-8.83817561007595e-05,0.00018436504299633907],[6.94514579230085e-05,0.9999999689069742,-0.0002395047923674351,0.0004277146622766681],[8.839839237992748e-05,0.0002394986526122156,0.9999999674130592,-0.0004120552988098569],[0.0,0.0,0.0,1.0]]","[[0.9999999936811094,-6.947262749841052e-05,-8.83817561007595e-05,0.00018436504299633907],[6.94514579230085e-05,0.9999999689069742,-0.0002395047923674351,0.0004277146622766681],[8.839839237992748e-05,0.0002394986526122156,0.9999999674130592,-0.0004120552988098569],[0.0,0.0,0.0,1.0]]",0.00018436504299633907,0.0004277146622766681,-0.0004120552988098569,0.0006218680492538323,0.0002645729716177206,0.015158914646929908,true,0.9999999999999996,4.577566805930185e-16,true,true,-1,15372,1.0,0.019935173259578914,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q03,R_TEST_01_Q03::open3d_point_to_plane,R_TEST_01_Q03,1787056356.5430822,open3d_point_to_plane,6bb6e40b1252f6a44aad71bb316e7cc3b2020164cc2d7522e24cd2d014446801,8950f5b17ff80e6952baf368df81921325fd897ed735daac6cf06bbd28a5866d,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15372,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999898066422,-6.642763882906569e-05,-0.00012638862174068266,0.0005145415947685383],[6.640834924116143e-05,0.9999999861486378,-0.00015261931374326617,0.0002249979822911923],[0.0001263987581306798,0.0001526109189278303,0.9999999803666304,0.00014358278588209463],[0.0,0.0,0.0,1.0]]","[[0.9999999898066422,-6.642763882906569e-05,-0.00012638862174068266,0.0005145415947685383],[6.640834924116143e-05,0.9999999861486378,-0.00015261931374326617,0.0002249979822911923],[0.0001263987581306798,0.0001526109189278303,0.9999999803666304,0.00014358278588209463],[0.0,0.0,0.0,1.0]]",0.0005145415947685383,0.0002249979822911923,0.00014358278588209463,0.0005796491707780853,0.00020899303614530407,0.011974418918750986,true,0.9999999999999993,8.308148434499606e-16,true,true,-1,15372,1.0,0.01972850498186976,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q04,R_TEST_01_Q04::open3d_point_to_plane,R_TEST_01_Q04,1787056357.9431353,open3d_point_to_plane,f152478ee07afab66a780213d3435457b88937567ff7e175e5eeb652005e9017,fd1dca82d562ebf21b66f4c256d42251cacbb66869e40c362b3718809022dfd6,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15260,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999787390295,2.099187356729506e-05,-0.00020513722669547664,0.00040348344721258494],[-2.103194207969901e-05,0.9999999807028611,-0.00019532520241696068,0.00014048192937354012],[0.00020513312249496147,0.00019532951269842755,0.999999959883391,0.00017817647592518543],[0.0,0.0,0.0,1.0]]","[[0.9999999787390295,2.099187356729506e-05,-0.00020513722669547664,0.00040348344721258494],[-2.103194207969901e-05,0.9999999807028611,-0.00019532520241696068,0.00014048192937354012],[0.00020513312249496147,0.00019532951269842755,0.999999959883391,0.00017817647592518543],[0.0,0.0,0.0,1.0]]",0.00040348344721258494,0.00014048192937354012,0.00017817647592518543,0.0004629048727634883,0.0002840329539094563,0.01627388950164568,true,0.9999999999999999,2.4825341829455453e-16,true,true,-1,15260,1.0,0.01973833176775707,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q05,R_TEST_01_Q05::open3d_point_to_plane,R_TEST_01_Q05,1787056359.4431496,open3d_point_to_plane,f76a227b96a4308a80e63e2b307e86ea59528878de9d8f3cce8e7a8d3c85c11a,d057bff7bce05877a9331e60ea3f7b42739153e8e2bf644ef07e1dba7e9961d4,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15366,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999808396169,-0.0001112454618277389,0.00016107517817261221,2.8464876249561866e-05],[0.00011127655789531757,0.9999999751732528,-0.000193057041394465,0.00047869058170953155],[-0.00016105369745391055,0.00019307496158680758,0.9999999683918825,7.271753405137429e-05],[0.0,0.0,0.0,1.0]]","[[0.9999999808396169,-0.0001112454618277389,0.00016107517817261221,2.8464876249561866e-05],[0.00011127655789531757,0.9999999751732528,-0.000193057041394465,0.00047869058170953155],[-0.00016105369745391055,0.00019307496158680758,0.9999999683918825,7.271753405137429e-05],[0.0,0.0,0.0,1.0]]",2.8464876249561866e-05,0.00047869058170953155,7.271753405137429e-05,0.00048501831094900465,0.00027494590064213896,0.015753239701217833,true,1.0,4.57756715216439e-16,true,true,-1,15366,1.0,0.019890087691299428,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q06,R_TEST_01_Q06::open3d_point_to_plane,R_TEST_01_Q06,1787056360.9431803,open3d_point_to_plane,325ec45c672bb2f7b4a1d1899adf5e972f3bc953cf67f30a32b97eac195e2e29,f6bb3f5ba310894a2220cdb08ffb37fa9be44b45ddaa2535c2d86dad4d2cae5f,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15395,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999791192744,0.00019949797804478053,-4.4294557012251095e-05,-5.156856275861015e-05],[-0.00019951421359747746,0.999999912813189,-0.0003668346944611353,0.00016065407422844076],[4.422137037052827e-05,0.00036684352419506973,0.9999999317351472,0.0001783750103883883],[0.0,0.0,0.0,1.0]]","[[0.9999999791192744,0.00019949797804478053,-4.4294557012251095e-05,-5.156856275861015e-05],[-0.00019951421359747746,0.999999912813189,-0.0003668346944611353,0.00016065407422844076],[4.422137037052827e-05,0.00036684352419506973,0.9999999317351472,0.0001783750103883883],[0.0,0.0,0.0,1.0]]",-5.156856275861015e-05,0.00016065407422844076,0.0001783750103883883,0.0002455334856231298,0.00041991950671154657,0.024059615469787066,true,1.0,2.220446675289563e-16,true,true,-1,15395,1.0,0.01998456097200979,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q07,R_TEST_01_Q07::open3d_point_to_plane,R_TEST_01_Q07,1787056362.4431906,open3d_point_to_plane,07038ada9ddf64fd44d76275c17e97e82d03fd9ed8e0479a5e4c994d8666f5e6,87949f4088bbdefa97bb936b77bcfab6cedaa6cabbf58c71acd942a6f218600f,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15462,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999849260677,-7.940946608723574e-05,0.00015440855163698105,0.00022324776343790535],[7.940033705173057e-05,0.9999999950997427,5.9127834286647116e-05,-7.898532643801571e-05],[-0.00015441324619009107,-5.911557330431452e-05,0.9999999863309491,0.00043140974262554336],[0.0,0.0,0.0,1.0]]","[[0.9999999849260677,-7.940946608723574e-05,0.00015440855163698105,0.00022324776343790535],[7.940033705173057e-05,0.9999999950997427,5.9127834286647116e-05,-7.898532643801571e-05],[-0.00015441324619009107,-5.911557330431452e-05,0.9999999863309491,0.00043140974262554336],[0.0,0.0,0.0,1.0]]",0.00022324776343790535,-7.898532643801571e-05,0.00043140974262554336,0.000492130685595589,0.0001834209375548673,0.010509245596226518,true,0.9999999999999996,4.710277458278699e-16,true,true,-1,15462,1.0,0.019680382457526947,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q08,R_TEST_01_Q08::open3d_point_to_plane,R_TEST_01_Q08,1787056363.843278,open3d_point_to_plane,9c9ab65dbce7264c1f140da964ef0c5ebf5568a466b19f1b65959c3c6e7523a5,166887b391976f4a37885b9491218358406cd935f2890ebe58c6e56d7a961a8a,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15235,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.999999997949836,-1.1938365337497472e-05,-6.291107774253902e-05,0.00016727833560148606],[1.193045556291872e-05,0.9999999920250274,-0.00012572831548638978,0.00012243876996127453],[6.291257823138845e-05,0.0001257275646708087,0.9999999901172935,0.0006391292711857488],[0.0,0.0,0.0,1.0]]","[[0.999999997949836,-1.1938365337497472e-05,-6.291107774253902e-05,0.00016727833560148606],[1.193045556291872e-05,0.9999999920250274,-0.00012572831548638978,0.00012243876996127453],[6.291257823138845e-05,0.0001257275646708087,0.9999999901172935,0.0006391292711857488],[0.0,0.0,0.0,1.0]]",0.00016727833560148606,0.00012243876996127453,0.0006391292711857488,0.0006719073740015507,0.00014109515690473082,0.008084157000377212,true,1.0000000000000002,2.2204461839283693e-16,true,true,-1,15235,1.0,0.020134909879111613,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q09,R_TEST_01_Q09::open3d_point_to_plane,R_TEST_01_Q09,1787056365.3432193,open3d_point_to_plane,8e6be665ef019801e2634c8a788b22fdc0c47b0deaf412a1555eb73f87835c71,f77f42fffa1419b7b30cb675a70e857c5871b516deb675c53fc7509cc98d580c,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15400,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999663214277,-0.00013534571667713483,0.00022144678847163516,6.0177984626356465e-06],[0.00013539850673891025,0.9999999624188456,-0.00023838949555179506,0.0004302245797329276],[-0.00022141451515228546,0.00023841947108765846,0.9999999470658828,-0.00010697731015954807],[0.0,0.0,0.0,1.0]]","[[0.9999999663214277,-0.00013534571667713483,0.00022144678847163516,6.0177984626356465e-06],[0.00013539850673891025,0.9999999624188456,-0.00023838949555179506,0.0004302245797329276],[-0.00022141451515228546,0.00023841947108765846,0.9999999470658828,-0.00010697731015954807],[0.0,0.0,0.0,1.0]]",6.0177984626356465e-06,0.0004302245797329276,-0.00010697731015954807,0.0004433661554445527,0.000352411471150386,0.020191689948913488,true,1.0,3.140185154850608e-16,true,true,-1,15400,1.0,0.020490471586180753,0.19.0+b012259,,true
R_TEST_01,LABORATORY,RICH_CANDIDATE,R_TEST_01_Q10,R_TEST_01_Q10::open3d_point_to_plane,R_TEST_01_Q10,1787056366.8432264,open3d_point_to_plane,8dfeca0a569fb425aecf985f57632b7777e3ec76a28877e45b81ddb53f49fc53,bc19f8fef46dd2e661b12e076b2b3432c34dd5f40c1f41eae4c86e14513d7b71,43c6f299b5b24d220e6ee1a5ad8395ebb1380f992ff4fe207f822e25c92a65f7,d08c60b22a7dc3f1345b9401225fec550da80c4f7025bb8a198065f0dbe75b59,15312,136443,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",true,false,true,false,true,false,false,true,"[[0.9999999838808252,-0.00017905909749025558,-1.3273605088894127e-05,0.00011067401340101437],[0.00017905359617890936,0.9999998985598118,-0.0004133039756062358,0.0007178733201418306],[1.3347609579278315e-05,0.00041330159225739144,0.9999999145018139,-0.0005082951079762868],[0.0,0.0,0.0,1.0]]","[[0.9999999838808252,-0.00017905909749025558,-1.3273605088894127e-05,0.00011067401340101437],[0.00017905359617890936,0.9999998985598118,-0.0004133039756062358,0.0007178733201418306],[1.3347609579278315e-05,0.00041330159225739144,0.9999999145018139,-0.0005082951079762868],[0.0,0.0,0.0,1.0]]",0.00011067401340101437,0.0007178733201418306,-0.0005082951079762868,0.0008865408946046247,0.0004506190770032452,0.0258185712803666,true,1.0,5.551115344845693e-16,true,true,-1,15311,0.9999346917450366,0.019758316764632647,0.19.0+b012259,,true
