relative_path,local_path,url,source_class,size_bytes,sha256,contains_lidar_payload,status
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-2-0-SGP-100_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-2-0-SGP-100_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-2-0-SGP-100_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,230523,09f11da596df3e2e6e29b0ea0a48e45e475b7b0ef3ce72a86b7911eec83396ca,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,118427,4f15ae2f930844f406ceb04c71ca61317b4cf3a7b18999f5a604287489e3c41c,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,117657,aa2df1cf63437eb471637d4978aa27c3c06f6e3b15cf8a6e3b7718785184437a,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-L_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,116414,c4ef87a81c9a24d72ae625e071fe548b33f486e23d43ae042cf782b9c964482a,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,219650,b0422f7aeac13554352d7db64d227dd7d39e509a5af849ab2f9620ac5173b1e5,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,218639,a45822275969fdccadd0cfc461bd767c58a853ee1e9d3d0b367ca1311989c73b,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-0-SGP-100_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,218856,b7b1768cec8cc7ed8804f59b3055edc5c6e76db8f9f783663fdb1e0d8b21e76d,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,117717,2cbc4924aa5af4cab0419f219acef5b6bf8b9b0af96be27c26e2181660d3bf86,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,116949,4876304af1e2f8b5684f0bb95c389dda4426857de18fb72a1dbc1648ac5c8822,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-L_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,115790,44d195e72ae8ff65c3c3b9ce54cd1438d3fdc83e7b696c6e729ae5ad31fc1690,False,COMPLETE_SHA256_RECORDED
