scene_id,station_id,snapshot_id,selection_index,initial_correspondence_count,initial_valid_normal_correspondence_count,lambda_min_trans,lambda_mid_trans,lambda_max_trans,normalized_lambda_min_trans,normalized_lambda_mid_trans,normalized_lambda_max_trans,condition_number_trans,spectral_entropy_trans
FMB1_W02,S01,FMB1_W02_S01_Q01,0,15936,15936,0.05477896002292176,0.14121045715627972,0.8040105828207982,0.054778960022921784,0.14121045715627978,0.8040105828207984,14.677361207375371,0.5560759563513927
FMB1_W02,S01,FMB1_W02_S01_Q02,1,15820,15820,0.05365951207897082,0.1375293408478172,0.8088111470732117,0.05365951207897084,0.13752934084781726,0.8088111470732119,15.073024627635125,0.5474430716764658
FMB1_W02,S01,FMB1_W02_S01_Q03,2,15902,15902,0.05282622321537598,0.13934628333500568,0.8078274934496188,0.05282622321537596,0.13934628333500562,0.8078274934496185,15.29216825053067,0.5482981880571747
FMB1_W02,S01,FMB1_W02_S01_Q04,3,15873,15873,0.053462148217605365,0.14394441338046124,0.8025934384019332,0.05346214821760538,0.14394441338046127,0.8025934384019334,15.01236791187592,0.5571450098064745
FMB1_W02,S01,FMB1_W02_S01_Q05,4,15850,15850,0.05266914435596666,0.1408044910470825,0.806526364596951,0.052669144355966646,0.14080449104708248,0.8065263645969508,15.313071333492873,0.5502327571733906
FMB1_W02,S01,FMB1_W02_S01_Q06,5,15849,15849,0.05187712056954162,0.14488712351616337,0.8032357559142946,0.05187712056954164,0.14488712351616342,0.803235755914295,15.483429826016497,0.5546866931150177
FMB1_W02,S01,FMB1_W02_S01_Q07,6,15734,15734,0.05335635485265678,0.13978519054703303,0.8068584546003097,0.0533563548526568,0.1397851905470331,0.80685845460031,15.12206853013936,0.550312780590429
FMB1_W02,S01,FMB1_W02_S01_Q08,7,15851,15851,0.05153383776777331,0.1411582089302808,0.8073079533019463,0.05153383776777329,0.14115820893028075,0.8073079533019459,15.66558960619068,0.5479628939218143
FMB1_W02,S01,FMB1_W02_S01_Q09,8,15844,15844,0.052533473292967474,0.13985710565700668,0.8076094210500264,0.05253347329296744,0.1398571056570066,0.8076094210500259,15.373234823941083,0.5483869419768661
FMB1_W02,S01,FMB1_W02_S01_Q10,9,15771,15771,0.054395308255762484,0.13926701412949155,0.8063376776147462,0.05439530825576247,0.13926701412949152,0.806337677614746,14.823662250858282,0.5520444142638067
FMB1_W02,S02,FMB1_W02_S02_Q01,0,15653,15653,0.07596843110085287,0.16006180276954543,0.7639697661296015,0.07596843110085288,0.16006180276954546,0.7639697661296018,10.056410999397679,0.6323884213931208
FMB1_W02,S02,FMB1_W02_S02_Q02,1,15698,15698,0.0762503321913071,0.16288161796364123,0.7608680498450517,0.0762503321913071,0.16288161796364123,0.7608680498450517,9.978553902376236,0.636963690888236
FMB1_W02,S02,FMB1_W02_S02_Q03,2,15838,15838,0.07383318661339625,0.16515025716799386,0.76101655621861,0.07383318661339625,0.16515025716799386,0.76101655621861,10.30724246270757,0.6350358086717488
FMB1_W02,S02,FMB1_W02_S02_Q04,3,15829,15829,0.07580980871560374,0.16254818213154462,0.7616420091528511,0.07580980871560378,0.1625481821315447,0.7616420091528515,10.046747539096273,0.635571591838629
FMB1_W02,S02,FMB1_W02_S02_Q05,4,15739,15739,0.07404905940396422,0.16418806284988574,0.7617628777461504,0.0740490594039642,0.16418806284988566,0.76176287774615,10.287272841515247,0.6341529391688826
FMB1_W02,S02,FMB1_W02_S02_Q06,5,15826,15826,0.07616927034092594,0.15902365613847724,0.7648070735205974,0.07616927034092588,0.15902365613847713,0.7648070735205968,10.040887487793942,0.631329714087213
FMB1_W02,S02,FMB1_W02_S02_Q07,6,15912,15912,0.07849424488696881,0.16223125314714693,0.7592745019658842,0.07849424488696881,0.16223125314714693,0.7592745019658842,9.672995810829628,0.6407173522100211
FMB1_W02,S02,FMB1_W02_S02_Q08,7,15749,15749,0.0750006805972058,0.16564791674853968,0.7593514026542553,0.07500068059720574,0.16564791674853957,0.7593514026542547,10.124593491789533,0.6381962996316881
FMB1_W02,S02,FMB1_W02_S02_Q09,8,15763,15763,0.0771341252143932,0.15880286664130105,0.7640630081443056,0.07713412521439321,0.15880286664130108,0.7640630081443057,9.905641712025687,0.6330338923328561
FMB1_W02,S02,FMB1_W02_S02_Q10,9,15684,15684,0.07560184992927817,0.16474453987763552,0.7596536101930866,0.07560184992927814,0.16474453987763543,0.7596536101930863,10.048082300945088,0.6382065624472771
FMB1_W02,S03,FMB1_W02_S03_Q01,0,15886,15886,0.04787219952905735,0.15181505390783706,0.8003127465631061,0.04787219952905733,0.151815053907837,0.8003127465631058,16.717693242344843,0.5552016580495532
FMB1_W02,S03,FMB1_W02_S03_Q02,1,15985,15985,0.05059450067579534,0.14706702931668136,0.8023384700075226,0.05059450067579537,0.14706702931668147,0.8023384700075231,15.858215009351111,0.5548565611794642
FMB1_W02,S03,FMB1_W02_S03_Q03,2,15809,15809,0.05180884402267573,0.14585507404368028,0.8023360819336436,0.05180884402267575,0.14585507404368034,0.8023360819336439,15.486469483520548,0.5560219823786509
FMB1_W02,S03,FMB1_W02_S03_Q04,3,15901,15901,0.05235455048583342,0.1421932205168559,0.805452228997311,0.05235455048583341,0.14219322051685587,0.8054522289973107,15.384569660573394,0.5516499280512897
FMB1_W02,S03,FMB1_W02_S03_Q05,4,15891,15891,0.05058247625440864,0.14571992360520505,0.8036976001403868,0.05058247625440862,0.145719923605205,0.8036976001403865,15.888854394911885,0.5527392278039697
FMB1_W02,S03,FMB1_W02_S03_Q06,5,15980,15980,0.05180936594740984,0.14637463105817158,0.8018160029944185,0.05180936594740985,0.1463746310581716,0.8018160029944186,15.476275154733958,0.5568285792734
FMB1_W02,S03,FMB1_W02_S03_Q07,6,15887,15887,0.05377595016495242,0.1449787447294414,0.8012453051056062,0.05377595016495242,0.1449787447294414,0.8012453051056062,14.899695917001285,0.559531390837168
FMB1_W02,S03,FMB1_W02_S03_Q08,7,15982,15982,0.05377004232440421,0.14441357362974294,0.8018163840458532,0.05377004232440419,0.1444135736297429,0.8018163840458529,14.911953745700117,0.558636196834523
FMB1_W02,S03,FMB1_W02_S03_Q09,8,15986,15986,0.0485706716747538,0.15251980316416697,0.7989095251610793,0.0485706716747538,0.15251980316416697,0.7989095251610793,16.44839360078973,0.5580514548154877
FMB1_W02,S03,FMB1_W02_S03_Q10,9,15924,15924,0.05423758853622259,0.1421664157805067,0.8035959956832708,0.05423758853622259,0.1421664157805067,0.8035959956832708,14.816219108756815,0.5562602326063623
