scene_id,station_id,map_bag_path,map_bag_sha256,input_roles,query_frame_count,query_contribution_to_target,construction,registration_called,odometry_called,scan_matching_called,map_frame_count,raw_point_count,filtered_point_count,target_point_count,minimum_range_m,maximum_range_m,voxel_size_m,preprocessing_source_sha256,target_path,target_npy_sha256,target_array_sha256,target_dtype,target_shape,target_c_contiguous
FMB1_W02,S01,/home/lj/ZPRM/bags/mid360_20260820_081749_part1_20s.bag,fe31a72dba708601ea6b667624063343612811b0867c40e399ef8d2c9ece067c,"[""MAP""]",0,0,DIRECT_SAME_SENSOR_FRAME_MERGE_NO_REGISTRATION,False,False,False,198,3960384,3140558,116099,0.1,200.0,0.05,"{""configs/mid360_pilot_config.json"": ""9a71a6070a6048ada85a494bc904f3295c6a776da60a7ada4404133e9cc83570"", ""experiments/mid360_formal_batch1/analysis_protocol.md"": ""d453d12e713c546c5a054ceb1710b86eea12fa09e3f244705e46df9db255a879"", ""experiments/mid360_formal_batch1/preregistration.yaml"": ""76ae548874d8c1584fcc033685db4a1e7cf104fd881cbd1c334eba0bfe1a9beb"", ""experiments/mid360_formal_batch1/preregistration_acquisition.py"": ""98d6726c91e805422a728f1abf9c754129005549297d583abaec20e420b95fdd"", ""experiments/mid360_formal_batch1/preregistration_assets.py"": ""ffa72c87a79942d8ab84ba3525f0df1b96fd5243f9d990d2e6b0d96161160e01"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_geometry.py"": ""82a323196fc8355b8c896801b9632b89327f1e0a7041e22dd66168a3bddbc203"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_ros.py"": ""3b0fd9f384d9d361d60910c51523f72dabec877a317a4d898b3fd36266c67891"", ""experiments/mid360_formal_batch1/preregistration_firewall.py"": ""3349be91373df8e261b966c512373dec83848d8d4d8523e11e20abfc6bcbb2a1"", ""experiments/mid360_formal_batch1/protocol.py"": ""24fa0b4e5aee625348ce8cbbb64d3a92db58810464f660af8975175afcdc8d82"", ""experiments/mid360_formal_batch1/w02_attempt2.py"": ""94417cb2c498eaff5e521f8de527749b658b526c98ac073c9db86a22b81bed85"", ""experiments/mid360_formal_batch1/w02_attempt2_deep_verify.py"": ""89afdd9255528e69afd73524a4cc2cb700e61c44d9624200170c3316387b0342"", ""experiments/mid360_formal_batch1/w02_attempt2_outputs.py"": ""46aa58e16f0e7e1225ecd70a6d2c6205c9117b19c656f487121f1dca70bbef69"", ""experiments/mid360_formal_batch1/w04_replacement.py"": ""d4a41618707bb03e2b077a1c0ce26193880e035cdc70b135730c634f7af58450"", ""frozen_assets/backend_parameter_contract.json"": ""6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9"", ""src/phase_a_harness/common_association_analysis.py"": ""458190c26d8640353004663474adb64305d1193d89ff0dc68f71f404de8f175d"", ""src/phase_a_harness/mid360_pilot/bag_reader.py"": ""51cca8e5a343bc7f337ad42d99b4401f4dffe74c05075b5863e25b448d8e8475"", ""src/phase_a_harness/mid360_pilot/imu_audit.py"": ""be49bb9a6a318c727d8d7ca1790a2fcaffb8d17e4fd6c64a463dfaf039634df9"", ""src/phase_a_harness/mid360_pilot/lidar_adapter.py"": ""3f0162ebff44401c8a8952437dd0c9b1f1c9ac5dfa63915e25fac9043722af08"", ""src/phase_a_harness/mid360_pilot/pilot_geometry.py"": ""c2b7d4593ccd7dadbc72ce2fd1c4b676011a162f10147153c4c4a95c35979c6e"", ""src/phase_a_harness/mid360_pilot/split.py"": ""593158190e1a5f9270a8b56de2b73432da59c10f3e9625d6288ecb52c543e4e8"", ""src/phase_a_harness/mid360_pilot/static_map.py"": ""6ae04d5049ef88cca2a8d240fed6518d905a6a7ae600fabb552735fe8c395fd3"", ""src/phase_a_harness/real_data_preparation/boreas_v2_stage2_selection.py"": ""37b1a6e3e1baab310afd8562926ada7975eeb27c58c536ed7b9656a4c8a4a310"", ""tools/mid360_formal_batch1/process_w02_attempt2.py"": ""524b1d6474eb8154ba6426c6abcf3dc1f724a74eecfd220572edd607d167153f""}",/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_w02_attempt2_v1/targets/FMB1_W02/S01/target_points.npy,faea55914993c660e754ef85c26d310e9bc18a0de8ccb197e3bdfe046255423a,8a33453f2945b0be6adb38ebf2c538383928fcd666a12c34b3b74cebc1b5a9a2,float64,"[116099, 3]",True
FMB1_W02,S02,/home/lj/ZPRM/bags/mid360_20260820_081954_part1_20s.bag,686e48448ce46bdc5ca2bec5d611b22410d61007ff2203dda0e404347f9c907a,"[""MAP""]",0,0,DIRECT_SAME_SENSOR_FRAME_MERGE_NO_REGISTRATION,False,False,False,198,3960000,3121140,140515,0.1,200.0,0.05,"{""configs/mid360_pilot_config.json"": ""9a71a6070a6048ada85a494bc904f3295c6a776da60a7ada4404133e9cc83570"", ""experiments/mid360_formal_batch1/analysis_protocol.md"": ""d453d12e713c546c5a054ceb1710b86eea12fa09e3f244705e46df9db255a879"", ""experiments/mid360_formal_batch1/preregistration.yaml"": ""76ae548874d8c1584fcc033685db4a1e7cf104fd881cbd1c334eba0bfe1a9beb"", ""experiments/mid360_formal_batch1/preregistration_acquisition.py"": ""98d6726c91e805422a728f1abf9c754129005549297d583abaec20e420b95fdd"", ""experiments/mid360_formal_batch1/preregistration_assets.py"": ""ffa72c87a79942d8ab84ba3525f0df1b96fd5243f9d990d2e6b0d96161160e01"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_geometry.py"": ""82a323196fc8355b8c896801b9632b89327f1e0a7041e22dd66168a3bddbc203"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_ros.py"": ""3b0fd9f384d9d361d60910c51523f72dabec877a317a4d898b3fd36266c67891"", ""experiments/mid360_formal_batch1/preregistration_firewall.py"": ""3349be91373df8e261b966c512373dec83848d8d4d8523e11e20abfc6bcbb2a1"", ""experiments/mid360_formal_batch1/protocol.py"": ""24fa0b4e5aee625348ce8cbbb64d3a92db58810464f660af8975175afcdc8d82"", ""experiments/mid360_formal_batch1/w02_attempt2.py"": ""94417cb2c498eaff5e521f8de527749b658b526c98ac073c9db86a22b81bed85"", ""experiments/mid360_formal_batch1/w02_attempt2_deep_verify.py"": ""89afdd9255528e69afd73524a4cc2cb700e61c44d9624200170c3316387b0342"", ""experiments/mid360_formal_batch1/w02_attempt2_outputs.py"": ""46aa58e16f0e7e1225ecd70a6d2c6205c9117b19c656f487121f1dca70bbef69"", ""experiments/mid360_formal_batch1/w04_replacement.py"": ""d4a41618707bb03e2b077a1c0ce26193880e035cdc70b135730c634f7af58450"", ""frozen_assets/backend_parameter_contract.json"": ""6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9"", ""src/phase_a_harness/common_association_analysis.py"": ""458190c26d8640353004663474adb64305d1193d89ff0dc68f71f404de8f175d"", ""src/phase_a_harness/mid360_pilot/bag_reader.py"": ""51cca8e5a343bc7f337ad42d99b4401f4dffe74c05075b5863e25b448d8e8475"", ""src/phase_a_harness/mid360_pilot/imu_audit.py"": ""be49bb9a6a318c727d8d7ca1790a2fcaffb8d17e4fd6c64a463dfaf039634df9"", ""src/phase_a_harness/mid360_pilot/lidar_adapter.py"": ""3f0162ebff44401c8a8952437dd0c9b1f1c9ac5dfa63915e25fac9043722af08"", ""src/phase_a_harness/mid360_pilot/pilot_geometry.py"": ""c2b7d4593ccd7dadbc72ce2fd1c4b676011a162f10147153c4c4a95c35979c6e"", ""src/phase_a_harness/mid360_pilot/split.py"": ""593158190e1a5f9270a8b56de2b73432da59c10f3e9625d6288ecb52c543e4e8"", ""src/phase_a_harness/mid360_pilot/static_map.py"": ""6ae04d5049ef88cca2a8d240fed6518d905a6a7ae600fabb552735fe8c395fd3"", ""src/phase_a_harness/real_data_preparation/boreas_v2_stage2_selection.py"": ""37b1a6e3e1baab310afd8562926ada7975eeb27c58c536ed7b9656a4c8a4a310"", ""tools/mid360_formal_batch1/process_w02_attempt2.py"": ""524b1d6474eb8154ba6426c6abcf3dc1f724a74eecfd220572edd607d167153f""}",/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_w02_attempt2_v1/targets/FMB1_W02/S02/target_points.npy,50d42ba5e4eb7c3dfcf2e9bb11bcfe871c02104c49a2dcc263d5e020186cc351,e803a183123f260fab5c61606e3180542882808eb57f50dfb696d0fbb856e283,float64,"[140515, 3]",True
FMB1_W02,S03,/home/lj/ZPRM/bags/mid360_20260820_082207_part1_20s.bag,46e76fbad2c7503d6629060ec1e19c77754542a236120090e3e705a37942e017,"[""MAP""]",0,0,DIRECT_SAME_SENSOR_FRAME_MERGE_NO_REGISTRATION,False,False,False,198,3959904,3156354,131670,0.1,200.0,0.05,"{""configs/mid360_pilot_config.json"": ""9a71a6070a6048ada85a494bc904f3295c6a776da60a7ada4404133e9cc83570"", ""experiments/mid360_formal_batch1/analysis_protocol.md"": ""d453d12e713c546c5a054ceb1710b86eea12fa09e3f244705e46df9db255a879"", ""experiments/mid360_formal_batch1/preregistration.yaml"": ""76ae548874d8c1584fcc033685db4a1e7cf104fd881cbd1c334eba0bfe1a9beb"", ""experiments/mid360_formal_batch1/preregistration_acquisition.py"": ""98d6726c91e805422a728f1abf9c754129005549297d583abaec20e420b95fdd"", ""experiments/mid360_formal_batch1/preregistration_assets.py"": ""ffa72c87a79942d8ab84ba3525f0df1b96fd5243f9d990d2e6b0d96161160e01"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_geometry.py"": ""82a323196fc8355b8c896801b9632b89327f1e0a7041e22dd66168a3bddbc203"", ""experiments/mid360_formal_batch1/preregistration_deep_verify_ros.py"": ""3b0fd9f384d9d361d60910c51523f72dabec877a317a4d898b3fd36266c67891"", ""experiments/mid360_formal_batch1/preregistration_firewall.py"": ""3349be91373df8e261b966c512373dec83848d8d4d8523e11e20abfc6bcbb2a1"", ""experiments/mid360_formal_batch1/protocol.py"": ""24fa0b4e5aee625348ce8cbbb64d3a92db58810464f660af8975175afcdc8d82"", ""experiments/mid360_formal_batch1/w02_attempt2.py"": ""94417cb2c498eaff5e521f8de527749b658b526c98ac073c9db86a22b81bed85"", ""experiments/mid360_formal_batch1/w02_attempt2_deep_verify.py"": ""89afdd9255528e69afd73524a4cc2cb700e61c44d9624200170c3316387b0342"", ""experiments/mid360_formal_batch1/w02_attempt2_outputs.py"": ""46aa58e16f0e7e1225ecd70a6d2c6205c9117b19c656f487121f1dca70bbef69"", ""experiments/mid360_formal_batch1/w04_replacement.py"": ""d4a41618707bb03e2b077a1c0ce26193880e035cdc70b135730c634f7af58450"", ""frozen_assets/backend_parameter_contract.json"": ""6a1ebdee6b34390f1430eab371e1c4108db1f124b59b7239d74785efa6474af9"", ""src/phase_a_harness/common_association_analysis.py"": ""458190c26d8640353004663474adb64305d1193d89ff0dc68f71f404de8f175d"", ""src/phase_a_harness/mid360_pilot/bag_reader.py"": ""51cca8e5a343bc7f337ad42d99b4401f4dffe74c05075b5863e25b448d8e8475"", ""src/phase_a_harness/mid360_pilot/imu_audit.py"": ""be49bb9a6a318c727d8d7ca1790a2fcaffb8d17e4fd6c64a463dfaf039634df9"", ""src/phase_a_harness/mid360_pilot/lidar_adapter.py"": ""3f0162ebff44401c8a8952437dd0c9b1f1c9ac5dfa63915e25fac9043722af08"", ""src/phase_a_harness/mid360_pilot/pilot_geometry.py"": ""c2b7d4593ccd7dadbc72ce2fd1c4b676011a162f10147153c4c4a95c35979c6e"", ""src/phase_a_harness/mid360_pilot/split.py"": ""593158190e1a5f9270a8b56de2b73432da59c10f3e9625d6288ecb52c543e4e8"", ""src/phase_a_harness/mid360_pilot/static_map.py"": ""6ae04d5049ef88cca2a8d240fed6518d905a6a7ae600fabb552735fe8c395fd3"", ""src/phase_a_harness/real_data_preparation/boreas_v2_stage2_selection.py"": ""37b1a6e3e1baab310afd8562926ada7975eeb27c58c536ed7b9656a4c8a4a310"", ""tools/mid360_formal_batch1/process_w02_attempt2.py"": ""524b1d6474eb8154ba6426c6abcf3dc1f724a74eecfd220572edd607d167153f""}",/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_w02_attempt2_v1/targets/FMB1_W02/S03/target_points.npy,f80531bf9a05d8e683bd2ffe57767ec013f21191f829a47b466ee86ef2f929bf,4db29a532ca8b130afc8cfbf440abbf63fa0ef6e1093865ba6d17eb492c3bc3a,float64,"[131670, 3]",True
